
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 2577.16
CRR, TCP, 1, 128, 2563.51
CRR, TCP, 1, 512, 2558.67
CRR, TCP, 1, 1024, 2542.14
CRR, TCP, 1, 9000, 2375.94
CRR, TCP, 1, 64000, 422.83
CRR, TCP, 4, 64, 12031
CRR, TCP, 4, 128, 11837.2
CRR, TCP, 4, 512, 11658.7
CRR, TCP, 4, 1024, 11627.1
CRR, TCP, 4, 9000, 10339.5
CRR, TCP, 4, 64000, 1931.7
CRR, TCP, 8, 64, 24821.2
CRR, TCP, 8, 128, 22804.5
CRR, TCP, 8, 512, 21529.6
CRR, TCP, 8, 1024, 23028.8
CRR, TCP, 8, 9000, 17595.6
CRR, TCP, 8, 64000, 3628.91
CRR, TCP, 16, 64, 34041.3
CRR, TCP, 16, 128, 33480.7
CRR, TCP, 16, 512, 31938.6
CRR, TCP, 16, 1024, 32263.1
CRR, TCP, 16, 9000, 27594.8
CRR, TCP, 16, 64000, 7010.71
