
System 2691.25 (MHz) duration 30 (sec) CPU avg. 86.07%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   2713418421.0  983154572.0   2.76    3.36     3.36  
  1   3577815422.0  1624734799.0  2.20    7.78     7.78  
  2   3398247706.0  1219565003.0  2.79    5.62     5.62  
  3   2200795450.0  824169794.0   2.67    2.69     2.69  
  4   4369963642.0  1579648899.0  2.77    5.50     5.50  
  5   2210562383.0  812520128.0   2.72    4.89     4.89  
  6   5353211119.0  1681530673.0  3.18    6.47     6.47  
  7    1431492.0      374250.0    3.82    0.00     0.00  
  8   5397804291.0  1694156383.0  3.19    7.35     7.35  
  9   3053124849.0  1014339633.0  3.01    4.46     4.46  
  10  7326720978.0  2179187390.0  3.36    8.72     8.72  
  11  2229730818.0  814346403.0   2.74    4.75     4.75  
  12  4754752414.0  1542817280.0  3.08    5.71     5.71  
  13  2237318785.0  820403010.0   2.73    5.90     5.90  
  14  5692592769.0  1807129311.0  3.15    8.10     8.10  
  15  2247823093.0  812918724.0   2.77    4.76     4.76  
System 2597.73 (MHz) duration 30 (sec) CPU avg. 86.27%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5072238365.0  1688966443.0  3.00    6.51     6.51  
  1   3570295911.0  1628492759.0  2.19    7.17     7.17  
  2   3414726929.0  1197267396.0  2.85    4.16     4.16  
  3   2190537888.0  826154110.0   2.65    2.77     2.77  
  4   4676118405.0  1551464323.0  3.01    5.89     5.89  
  5   2202725651.0  814698822.0   2.70    5.10     5.10  
  6   4906937238.0  1557187876.0  3.15    5.85     5.85  
  7    1629316.0      421591.0    3.86    0.00     0.00  
  8   6178359948.0  1896687261.0  3.26    7.75     7.75  
  9   2215304490.0  814277602.0   2.72    6.16     6.16  
  10  6138369263.0  1884825223.0  3.26   11.81    11.81  
  11  2229465280.0  818105014.0   2.73    2.88     2.88  
  12  3963796563.0  1359913729.0  2.91    5.06     5.06  
  13  4242909707.0  1314266737.0  3.23    5.56     5.56  
  14  3603071994.0  1207015360.0  2.99    4.33     4.33  
  15  2235090837.0  814307460.0   2.74    5.27     5.27  
System 1899.61 (MHz) duration 30 (sec) CPU avg. 102.11%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   6494449781.0  1955424475.0  3.32   11.40    11.40  
  1   3526004336.0  1604362855.0  2.20    4.96     4.96  
  2   3738046506.0  1189843685.0  3.14    4.45     4.45  
  3   2162058286.0  813719942.0   2.66    4.57     4.57  
  4   6014981827.0  1842055171.0  3.27    8.53     8.53  
  5   4441510814.0  1359725439.0  3.27    5.34     5.34  
  6   5312020228.0  1583412421.0  3.35    7.16     7.16  
  7    2270015.0      515018.0    4.41    0.00     0.00  
  8   4308402893.0  1513600462.0  2.85   11.97    11.97  
  9   2188748270.0  804100640.0   2.72    6.08     6.08  
  10  4379887088.0  1421984486.0  3.08   12.17    12.17  
  11  2198377179.0  804983885.0   2.73    3.89     3.89  
  12  6306043057.0  1993119909.0  3.16    7.52     7.52  
  13  2194123643.0  806925904.0   2.72    4.74     4.74  
  14  3594850250.0  1249370672.0  2.88    4.34     4.34  
  15  2203247331.0  801547280.0   2.75    4.99     4.99  
System 2336.80 (MHz) duration 30 (sec) CPU avg. 87.47%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   3340839715.0  1111840893.0  3.00    4.77     4.77  
  1   3715050302.0  1636794916.0  2.27    6.67     6.67  
  2   6265382634.0  1987332245.0  3.15   11.69    11.69  
  3   2313348772.0  831933480.0   2.78    4.87     4.87  
  4   3812969767.0  1212079248.0  3.15    4.87     4.87  
  5   2330358093.0  819923567.0   2.84    3.01     3.01  
  6   7761692081.0  2361405995.0  3.29    9.27     9.27  
  7    1546177.0      432260.0    3.58    0.00     0.00  
  8   3281904104.0  1081460975.0  3.03    3.96     3.96  
  9   2337097215.0  820222236.0   2.85    4.60     4.60  
  10  6660090194.0  2089546034.0  3.19    8.78     8.78  
  11  2354793865.0  822746292.0   2.86    2.95     2.95  
  12  4702500665.0  1440712419.0  3.26    5.61     5.61  
  13  2344227469.0  821751001.0   2.85    3.73     3.73  
  14  5544088491.0  1802393550.0  3.08    7.05     7.05  
  15  2365745089.0  818335030.0   2.89    5.63     5.63  
System 2673.44 (MHz) duration 30 (sec) CPU avg. 83.00%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   6421188049.0  2185803687.0  2.94    8.01     8.01  
  1   3387382207.0  1532965889.0  2.21    8.10     8.10  
  2   5109375997.0  1799930393.0  2.84    6.86     6.86  
  3   2092713568.0  778871886.0   2.69    2.82     2.82  
  4   3785920962.0  1397607871.0  2.71    6.48     6.48  
  5   2089642359.0  761256735.0   2.74    2.71     2.71  
  6   4094528093.0  1468245796.0  2.79    5.71     5.71  
  7    2138811.0      462720.0    4.62    0.00     0.00  
  8   3752219532.0  1352959903.0  2.77    4.91     4.91  
  9   2099062810.0  755497072.0   2.78    5.21     5.21  
  10  5059240463.0  1762076074.0  2.87    6.62     6.62  
  11  2109660307.0  759454136.0   2.78    4.22     4.22  
  12  6195786242.0  1982413322.0  3.13    7.38     7.38  
  13  2113308935.0  768952056.0   2.75    4.94     4.94  
  14  3992178233.0  1392479055.0  2.87    5.66     5.66  
  15  2102825313.0  755217143.0   2.78    3.36     3.36  
System 2663.44 (MHz) duration 30 (sec) CPU avg. 50.10%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   2094176465.0  645501274.0   3.24    2.62     2.62  
  1   2033595066.0  768090126.0   2.65    2.61     2.61  
  2   1755216421.0  734096835.0   2.39    2.54     2.54  
  3   1745206696.0  389991132.0   4.47    4.39     4.39  
  4   2599278674.0  797120990.0   3.26    3.33     3.33  
  5   1767725545.0  352047747.0   5.02    4.91     4.91  
  6   1773878779.0  586729510.0   3.02    4.25     4.25  
  7    1066173.0      300953.0    3.54    0.00     0.00  
  8   2392035196.0  854201672.0   2.80    3.35     3.35  
  9   1724664287.0  335962901.0   5.13    4.55     4.55  
  10  1397475022.0  481043390.0   2.91    1.86     1.86  
  11  1724512804.0  339668887.0   5.08    3.82     3.82  
  12  1999587152.0  725488883.0   2.76    2.38     2.38  
  13  1739514072.0  357918372.0   4.86    3.84     3.84  
  14  2614634861.0  922711554.0   2.83    3.54     3.54  
  15  1733602129.0  333628696.0   5.20    2.10     2.10  
System 2759.84 (MHz) duration 30 (sec) CPU avg. 250.70%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   21876414021.0  9799567423.0  2.23   26.42    26.42  
  1   12893017474.0  7300210554.0  1.77   31.41    31.41  
  2    9485508345.0  4072738097.0  2.33   16.64    16.64  
  3    6755679751.0  3795423152.0  1.78    9.40     9.40  
  4   10317196643.0  4270769303.0  2.42   19.04    19.04  
  5    6789108157.0  3775100430.0  1.80   14.09    14.09  
  6   10984164930.0  4778151609.0  2.30   13.91    13.91  
  7     2921137.0      605167.0    4.83    0.01     0.01  
  8   11517159834.0  4911356487.0  2.35   22.94    22.94  
  9    6817277850.0  3777786680.0  1.80    8.89     8.89  
  10   5193191787.0  2260358259.0  2.30   11.65    11.65  
  11   6858026234.0  3775515846.0  1.82    8.82     8.82  
  12  10312785666.0  4279960393.0  2.41   12.31    12.31  
  13   6791412883.0  3784503974.0  1.79   15.07    15.07  
  14  10460341190.0  4304268429.0  2.43   12.59    12.59  
  15  10693444060.0  4717241988.0  2.27   27.52    27.52  
System 2323.36 (MHz) duration 30 (sec) CPU avg. 215.58%
 CPU      Cycles      Instructions  CPI   Avg (%)  Max (%) 
  0   23254192461.0  11167528246.0  2.08   33.36    33.36  
  1   13088173124.0   7286929325.0  1.80   16.98    16.98  
  2    677846745.0    242966409.0   2.79    0.83     0.83  
  3    6674522388.0   3734252472.0  1.79    8.76     8.76  
  4    8823890943.0   3507597657.0  2.52   14.65    14.65  
  5    6696565233.0   3713847384.0  1.80   14.12    14.12  
  6   11355494646.0   4843768536.0  2.34   13.52    13.52  
  7     1988441.0       561729.0    3.54    0.00     0.00  
  8   11613828902.0   4882234965.0  2.38   14.58    14.58  
  9    6755614867.0   3717421961.0  1.82    9.03     9.03  
  10  11429922188.0   4844809730.0  2.36   27.24    27.24  
  11   7314903283.0   3856913563.0  1.90   13.88    13.88  
  12  12392476520.0   5081558186.0  2.44   16.32    16.32  
  13   6724312064.0   3724971436.0  1.81    8.83     8.83  
  14   5732749358.0   2206606910.0  2.60    8.14     8.14  
  15   6735612607.0   3713525604.0  1.81   15.33    15.33  
System 1677.66 (MHz) duration 30 (sec) CPU avg. 224.43%
 CPU      Cycles      Instructions  CPI   Avg (%)  Max (%) 
  0   22980254864.0  10285409560.0  2.23   45.66    45.66  
  1   13381115804.0   7251759541.0  1.85   24.10    24.10  
  2    6468916970.0   2917103507.0  2.22    8.19     8.19  
  3    7392016975.0   3852642303.0  1.92    9.71     9.71  
  4   10262536116.0   4594527815.0  2.23   12.37    12.37  
  5    6599276390.0   3629886637.0  1.82   16.31    16.31  
  6    9862904160.0   4404431231.0  2.24   12.14    12.14  
  7     1101220.0       341325.0    3.23    0.00     0.00  
  8   10687774108.0   4600942059.0  2.32   14.15    14.15  
  9    6651861067.0   3632408502.0  1.83    9.01     9.01  
  10   7154005326.0   3082206338.0  2.32    9.97     9.97  
  11   6656275350.0   3637601458.0  1.83   13.22    13.22  
  12   7131574184.0   3168046973.0  2.25    8.49     8.49  
  13   6604024411.0   3637206217.0  1.82   16.82    16.82  
  14   6872299029.0   3002924384.0  2.29    9.04     9.04  
  15   7211517012.0   3769902740.0  1.91   15.27    15.27  
System 2707.19 (MHz) duration 30 (sec) CPU avg. 199.86%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
