
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 3178.64
CRR, TCP, 1, 128, 3026.25
CRR, TCP, 1, 512, 2927.21
CRR, TCP, 1, 1024, 2959.12
CRR, TCP, 1, 9000, 2633.31
CRR, TCP, 1, 64000, 468.53
CRR, TCP, 4, 64, 15106.8
CRR, TCP, 4, 128, 14827.9
CRR, TCP, 4, 512, 14426
CRR, TCP, 4, 1024, 14165.4
CRR, TCP, 4, 9000, 11986.3
CRR, TCP, 4, 64000, 2158.25
CRR, TCP, 8, 64, 30791.6
CRR, TCP, 8, 128, 30736.3
CRR, TCP, 8, 512, 29621.5
CRR, TCP, 8, 1024, 28887.1
CRR, TCP, 8, 9000, 23417.4
CRR, TCP, 8, 64000, 4299.43
CRR, TCP, 16, 64, 53959.8
CRR, TCP, 16, 128, 50971.2
CRR, TCP, 16, 512, 51948.6
CRR, TCP, 16, 1024, 47910.2
CRR, TCP, 16, 9000, 40075.9
CRR, TCP, 16, 64000, 8028.95
