
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 2309.48
CRR, TCP, 1, 128, 2306.49
CRR, TCP, 1, 512, 2273.79
CRR, TCP, 1, 1024, 2252.32
CRR, TCP, 1, 9000, 2103.11
CRR, TCP, 1, 64000, 377.05
CRR, TCP, 4, 64, 10173.8
CRR, TCP, 4, 128, 10271.2
CRR, TCP, 4, 512, 10279.1
CRR, TCP, 4, 1024, 10160
CRR, TCP, 4, 9000, 9097.69
CRR, TCP, 4, 64000, 1759.06
CRR, TCP, 8, 64, 16356.3
CRR, TCP, 8, 128, 18199.4
CRR, TCP, 8, 512, 16277.5
CRR, TCP, 8, 1024, 16748.6
CRR, TCP, 8, 9000, 12171.1
CRR, TCP, 8, 64000, 3579.65
CRR, TCP, 16, 64, 27976.7
CRR, TCP, 16, 128, 20490
CRR, TCP, 16, 512, 25331.7
CRR, TCP, 16, 1024, 20122.1
CRR, TCP, 16, 9000, 21256.2
CRR, TCP, 16, 64000, 5560.73
