
System 2481.80 (MHz) duration 30 (sec) CPU avg. 100.85%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5411698059.0  1746977183.0  3.10    7.27     7.27  
  1   3850036614.0  1728849939.0  2.23   10.69    10.69  
  2   3787556959.0  1324606053.0  2.86    5.21     5.21  
  3   2419451314.0  876923834.0   2.76    5.14     5.14  
  4   3495635133.0  1236646521.0  2.83    6.85     6.85  
  5   2430838408.0  865947758.0   2.81    6.65     6.65  
  6   4528831599.0  1580849121.0  2.86    5.40     5.40  
  7    23262880.0    5722382.0    4.07    0.06     0.06  
  8   6630561014.0  2042041702.0  3.25    7.93     7.93  
  9   2448975360.0  864922601.0   2.83    3.12     3.12  
  10  4997817395.0  1657805526.0  3.01    7.06     7.06  
  11  2460550681.0  867010026.0   2.84    5.31     5.31  
  12  5100738769.0  1638412501.0  3.11    8.58     8.58  
  13  2455218825.0  867755563.0   2.83    6.83     6.83  
  14  7187571602.0  2215223641.0  3.24    8.60     8.60  
  15  2471821059.0  865019364.0   2.86    6.15     6.15  
System 2799.06 (MHz) duration 30 (sec) CPU avg. 83.14%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   4579361553.0  1539533787.0  2.97    5.45     5.45  
  1   3589665762.0  1635211743.0  2.20    5.43     5.43  
  2   4805017000.0  1578426910.0  3.04    5.83     5.83  
  3   2180072450.0  826217753.0   2.64    5.56     5.56  
  4   4791906066.0  1587381154.0  3.02    6.38     6.38  
  5   2194505343.0  814470365.0   2.69    4.23     4.23  
  6   3338800675.0  1254889572.0  2.66    7.09     7.09  
  7    6816301.0     1443095.0    4.72    0.02     0.02  
  8   4034681323.0  1438639775.0  2.80    8.75     8.75  
  9   2213190339.0  814280478.0   2.72    2.85     2.85  
  10  5420201370.0  1649225768.0  3.29    7.32     7.32  
  11  2216297224.0  816459294.0   2.71    2.71     2.71  
  12  3203213635.0  1104666677.0  2.90    4.86     4.86  
  13  2198461464.0  816008190.0   2.69    5.19     5.19  
  14  4341003021.0  1414018531.0  3.07    5.26     5.26  
  15  2230665610.0  812956073.0   2.74    6.20     6.20  
System 1235.08 (MHz) duration 30 (sec) CPU avg. 101.81%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5353551313.0  1626009290.0  3.29   14.45    14.45  
  1   3558418323.0  1595390465.0  2.23    5.52     5.52  
  2   5544547477.0  1748856601.0  3.17    7.13     7.13  
  3   2199730358.0  810986316.0   2.71    5.43     5.43  
  4   4340243341.0  1448381579.0  3.00    5.22     5.22  
  5   2211317778.0  799058668.0   2.77    5.81     5.81  
  6   6715530686.0  2084983648.0  3.22    8.00     8.00  
  7    9513211.0     2213102.0    4.30    0.01     0.01  
  8   4682317583.0  1564930600.0  2.99    5.58     5.58  
  9   2231674989.0  798759450.0   2.79    5.07     5.07  
  10  3591475289.0  1164523112.0  3.08    4.65     4.65  
  11  2230294022.0  801414543.0   2.78    4.61     4.61  
  12  6709971901.0  1967136681.0  3.41   15.51    15.51  
  13  2227913919.0  801026908.0   2.78    6.19     6.19  
  14  4078024447.0  1314069172.0  3.10    5.94     5.94  
  15  2249345868.0  797902747.0   2.82    2.69     2.69  
System 2441.88 (MHz) duration 30 (sec) CPU avg. 109.82%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   10078594856.0  2934112183.0  3.43   13.76    13.76  
  1    3520519148.0  1573529233.0  2.24    7.93     7.93  
  2    2707967350.0  887927760.0   3.05    3.26     3.26  
  3    2189816203.0  801409223.0   2.73    6.08     6.08  
  4    5567967495.0  1612093093.0  3.45   13.62    13.62  
  5    2197255106.0  788812346.0   2.79    4.39     4.39  
  6    3979734986.0  1228501475.0  3.24    8.92     8.92  
  7     9475557.0     2873200.0    3.30    0.01     0.01  
  8    3936794769.0  1221781680.0  3.22    5.25     5.25  
  9    2217823556.0  789016496.0   2.81    3.54     3.54  
  10   6499135663.0  2059274749.0  3.16    7.74     7.74  
  11   2216085733.0  789711888.0   2.81    4.92     4.92  
  12   7204688406.0  2223462473.0  3.24    9.16     9.16  
  13   2208219137.0  789498715.0   2.80    5.27     5.27  
  14   8113395408.0  2454298657.0  3.31    9.76     9.76  
  15   2232365626.0  787897589.0   2.83    6.21     6.21  
System 2579.22 (MHz) duration 30 (sec) CPU avg. 84.93%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5127491027.0  1665990105.0  3.08    6.63     6.63  
  1   3385677481.0  1533651230.0  2.21    5.96     5.96  
  2   6225030475.0  2033784617.0  3.06   11.82    11.82  
  3   2107422763.0  779337462.0   2.70    2.88     2.88  
  4   2489950642.0  1095108298.0  2.27    3.20     3.20  
  5   2096817690.0  759889481.0   2.76    5.49     5.49  
  6   3837432138.0  1395523335.0  2.75    4.57     4.57  
  7    2916201.0      763398.0    3.82    0.00     0.00  
  8   4420478485.0  1580998261.0  2.80    6.88     6.88  
  9   2113050276.0  756060179.0   2.79    4.55     4.55  
  10  5088418795.0  1709598413.0  2.98    6.49     6.49  
  11  2125681207.0  762119621.0   2.79    2.55     2.55  
  12  4795158781.0  1633304744.0  2.94    5.77     5.77  
  13  2115119481.0  765021403.0   2.76    5.87     5.87  
  14  4999806406.0  1678026586.0  2.98    6.97     6.97  
  15  2127128546.0  754413139.0   2.82    5.29     5.29  
System 1651.02 (MHz) duration 30 (sec) CPU avg. 48.81%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   907189662.0   355200873.0   2.55    1.83     1.83  
  1   1991086619.0  760393503.0   2.62    3.98     3.98  
  2   1789121524.0  681753996.0   2.62    3.53     3.53  
  3   1747453029.0  388108471.0   4.50    2.27     2.27  
  4   1603030732.0  656129764.0   2.44    3.57     3.57  
  5   1762407230.0  353101700.0   4.99    2.41     2.41  
  6   3631830645.0  1111664312.0  3.27    5.65     5.65  
  7    2521998.0      682901.0    3.69    0.01     0.01  
  8   2928993337.0  1036568870.0  2.83    5.55     5.55  
  9   1735126697.0  338060096.0   5.13    4.05     4.05  
  10  2028500858.0  726931679.0   2.79    2.42     2.42  
  11  1738635195.0  339304687.0   5.12    2.22     2.22  
  12  1291223894.0  384417244.0   3.36    1.68     1.68  
  13  1725602570.0  357606310.0   4.83    4.48     4.48  
  14  1782317108.0  552737560.0   3.22    2.14     2.14  
  15  1739531574.0  343943031.0   5.06    3.02     3.02  
System 2763.44 (MHz) duration 30 (sec) CPU avg. 245.44%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   21303457694.0  9500698804.0  2.24   25.70    25.70  
  1   12514474735.0  7086417765.0  1.77   32.02    32.02  
  2   11708629374.0  4778751430.0  2.45   15.40    15.40  
  3    6616536623.0  3683870893.0  1.80   15.00    15.00  
  4   10600274463.0  4330321301.0  2.45   12.77    12.77  
  5    6646914928.0  3664523224.0  1.81   14.16    14.16  
  6    9236792023.0  4031511587.0  2.29   11.00    11.00  
  7     2697866.0      701348.0    3.85    0.01     0.01  
  8    9807580210.0  4235268174.0  2.32   12.31    12.31  
  9    9292048219.0  4312011487.0  2.15   23.93    23.93  
  10   3813254448.0  1657138514.0  2.30    5.01     5.01  
  11   6708642422.0  3665949046.0  1.83    8.56     8.56  
  12  11534057445.0  4919394562.0  2.34   16.50    16.50  
  13   6623723799.0  3676531914.0  1.80   15.74    15.74  
  14  11734407868.0  4803633959.0  2.44   14.12    14.12  
  15   9262903084.0  4298026230.0  2.16   23.21    23.21  
System 1996.09 (MHz) duration 30 (sec) CPU avg. 212.67%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   21229052623.0  9172728470.0  2.31   35.45    35.45  
  1   12393540176.0  6999290765.0  1.77   16.49    16.49  
  2    8251336027.0  3489458530.0  2.36   13.38    13.38  
  3    6559693112.0  3637607093.0  1.80    8.66     8.66  
  4    9049635988.0  3681443973.0  2.46   11.01    11.01  
  5    6545847969.0  3615759762.0  1.81    9.05     9.05  
  6   13297183306.0  5607413073.0  2.37   16.64    16.64  
  7     1972939.0      508696.0    3.88    0.00     0.00  
  8    4646885933.0  1901093545.0  2.44    6.48     6.48  
  9    6603042984.0  3619459833.0  1.82   14.84    14.84  
  10  11109173119.0  4571082727.0  2.43   13.37    13.37  
  11   6638651152.0  3620750762.0  1.83   15.46    15.46  
  12  12734699767.0  5173449163.0  2.46   15.17    15.17  
  13   6603438438.0  3626792922.0  1.82    9.05     9.05  
  14  11507407223.0  4676886121.0  2.46   13.90    13.90  
  15   7238386495.0  3760535174.0  1.92   13.74    13.74  
