
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 2589.07
CRR, TCP, 1, 128, 2543.78
CRR, TCP, 1, 512, 2556.04
CRR, TCP, 1, 1024, 2550.91
CRR, TCP, 1, 9000, 2370.48
CRR, TCP, 1, 64000, 423.42
CRR, TCP, 4, 64, 11874.1
CRR, TCP, 4, 128, 11757.8
CRR, TCP, 4, 512, 11808.4
CRR, TCP, 4, 1024, 11546.1
CRR, TCP, 4, 9000, 10081.2
CRR, TCP, 4, 64000, 1928.46
CRR, TCP, 8, 64, 23069.3
CRR, TCP, 8, 128, 20936.2
CRR, TCP, 8, 512, 21845.2
CRR, TCP, 8, 1024, 20390.2
CRR, TCP, 8, 9000, 19316.9
CRR, TCP, 8, 64000, 3930.24
CRR, TCP, 16, 64, 34063.4
CRR, TCP, 16, 128, 34374.6
CRR, TCP, 16, 512, 28551.4
CRR, TCP, 16, 1024, 34091.4
CRR, TCP, 16, 9000, 26727.4
CRR, TCP, 16, 64000, 6669.88
