
System 2676.80 (MHz) duration 30 (sec) CPU avg. 105.85%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5962448595.0  5633656863.0  1.06    7.42     7.42  
  1   6161925041.0  8159298551.0  0.76    9.37     9.37  
  2   4920770239.0  4995165752.0  0.99    8.78     8.78  
  3   3982082003.0  4217987903.0  0.94    8.99     8.99  
  4   3234512419.0  2989888424.0  1.08    8.99     8.99  
  5   3485984086.0  4081163014.0  0.85    4.98     4.98  
  6   4500823143.0  4676089046.0  0.96    7.22     7.22  
  7    1551155.0      469313.0    3.31    0.00     0.00  
  8   4811469873.0  4582131203.0  1.05    7.00     7.00  
  9   3518439081.0  4082184586.0  0.86    7.67     7.67  
  10  3600114046.0  4067817391.0  0.89    4.32     4.32  
  11  3503823615.0  4084141656.0  0.86    4.46     4.46  
  12  4393572172.0  4087122928.0  1.07    5.34     5.34  
  13  3506190386.0  4085964093.0  0.86    5.10     5.10  
  14  6437585067.0  5354716698.0  1.20   11.95    11.95  
  15  3492979041.0  4080682359.0  0.86    4.24     4.24  
System 2683.67 (MHz) duration 30 (sec) CPU avg. 116.32%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   4708815225.0  4741777822.0  0.99    5.85     5.85  
  1   6195569179.0  8164786918.0  0.76   14.87    14.87  
  2   5723360489.0  4802435230.0  1.19   11.34    11.34  
  3   3461576972.0  4090640773.0  0.85    8.15     8.15  
  4   5123645978.0  4399443223.0  1.16    6.90     6.90  
  5   3485872674.0  4080489518.0  0.85    8.03     8.03  
  6   5220749362.0  4673622856.0  1.12    7.05     7.05  
  7    1879507.0      573862.0    3.28    0.00     0.00  
  8   4665641472.0  4518541749.0  1.03   11.08    11.08  
  9   3521657161.0  4080597363.0  0.86    4.70     4.70  
  10  3856480433.0  4132097448.0  0.93   10.71    10.71  
  11  3506455226.0  4083873793.0  0.86    7.65     7.65  
  12  4376033766.0  4683915421.0  0.93    6.10     6.10  
  13  3492600675.0  4082716565.0  0.86    4.46     4.46  
  14  4341824361.0  4456673925.0  0.97    5.18     5.18  
  15  3492055419.0  4079572374.0  0.86    4.24     4.24  
System 2573.20 (MHz) duration 30 (sec) CPU avg. 111.75%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   7839055150.0  7149594076.0  1.10   10.15    10.15  
  1   6095819908.0  8039694682.0  0.76   14.22    14.22  
  2   5351264905.0  4667352096.0  1.15    6.51     6.51  
  3   3427436701.0  4032010624.0  0.85    6.34     6.34  
  4   4311282452.0  3629323998.0  1.19    5.20     5.20  
  5   3451283265.0  4023282103.0  0.86    7.06     7.06  
  6   3227858419.0  2939541205.0  1.10    3.85     3.85  
  7    1541711.0      488714.0    3.15    0.00     0.00  
  8   4377219942.0  4418426851.0  0.99    5.80     5.80  
  9   3485988626.0  4023678386.0  0.87    4.18     4.18  
  10  5220091394.0  4420910217.0  1.18   13.27    13.27  
  11  3472863306.0  4026414516.0  0.86    4.43     4.43  
  12  4845304618.0  4787372677.0  1.01    6.31     6.31  
  13  3459661709.0  4024260998.0  0.86    4.43     4.43  
  14  5946335791.0  4823529364.0  1.23   14.50    14.50  
  15  3453625992.0  4023412245.0  0.86    5.51     5.51  
System 2774.14 (MHz) duration 30 (sec) CPU avg. 114.35%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5835124976.0  5797342836.0  1.01    7.01     7.01  
  1   6066489723.0  7988625215.0  0.76   10.79    10.79  
  2   4837317102.0  4519628935.0  1.07    9.05     9.05  
  3   3416073393.0  4005304080.0  0.85    7.94     7.94  
  4   6494045164.0  4911863474.0  1.32   10.59    10.59  
  5   3430767989.0  3994825101.0  0.86    8.88     8.88  
  6   7079131833.0  5188984465.0  1.36    8.43     8.43  
  7    1967283.0      582323.0    3.38    0.00     0.00  
  8   4674015922.0  4362473309.0  1.07    8.63     8.63  
  9   3469725821.0  3999051897.0  0.87    7.60     7.60  
  10  5673949885.0  4627238031.0  1.23    7.31     7.31  
  11  3455435196.0  4002483183.0  0.86    6.96     6.96  
  12  4730704334.0  4621977030.0  1.02    5.81     5.81  
  13  3447629243.0  4001066722.0  0.86    7.66     7.66  
  14  2458316137.0  2747923153.0  0.89    3.17     3.17  
  15  3441243420.0  3994279046.0  0.86    4.49     4.49  
System 2417.81 (MHz) duration 30 (sec) CPU avg. 102.98%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   3394409795.0  3699961454.0  0.92    4.68     4.68  
  1   5843750370.0  7530016852.0  0.78   14.85    14.85  
  2   4590191934.0  4923481300.0  0.93    5.88     5.88  
  3   3282331245.0  3777880188.0  0.87    4.07     4.07  
  4   4338437123.0  4532165899.0  0.96    9.13     9.13  
  5   3271106941.0  3759987613.0  0.87    7.23     7.23  
  6   6816803437.0  6121363050.0  1.11    8.98     8.98  
  7    3153177.0      744098.0    4.24    0.01     0.01  
  8   5892868018.0  4804811496.0  1.23    7.62     7.62  
  9   3298279486.0  3752198853.0  0.88    4.29     4.29  
  10  4859428876.0  4214689701.0  1.15    5.81     5.81  
  11  3293148303.0  3754049488.0  0.88    4.11     4.11  
  12  7540655423.0  6185140767.0  1.22    8.98     8.98  
  13  3291965430.0  3762888063.0  0.87    6.45     6.45  
  14  4258642910.0  4305418411.0  0.99    5.13     5.13  
  15  4630261117.0  4088742753.0  1.13    5.79     5.79  
System 2613.36 (MHz) duration 30 (sec) CPU avg. 57.21%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   1345605016.0  1404356423.0  0.96    1.72     1.72  
  1   2944842089.0  2931300429.0  1.00    6.60     6.60  
  2   1877962810.0  1743790056.0  1.08    2.76     2.76  
  3   2211726304.0  1472654225.0  1.50    2.77     2.77  
  4   2437997376.0  2546202388.0  0.96    4.94     4.94  
  5   2178950215.0  1444267532.0  1.51    2.81     2.81  
  6   2910523896.0  2646333359.0  1.10    4.19     4.19  
  7    2106453.0      596129.0    3.53    0.01     0.01  
  8   2929106606.0  2590252289.0  1.13    3.49     3.49  
  9   2164315566.0  1429953787.0  1.51    4.41     4.41  
  10  2000543853.0  1729463137.0  1.16    2.53     2.53  
  11  2160202225.0  1436104788.0  1.50    4.67     4.67  
  12  3303265532.0  2647087387.0  1.25    4.16     4.16  
  13  2184863426.0  1444637943.0  1.51    4.31     4.31  
  14  1963768317.0  2001764084.0  0.98    5.14     5.14  
  15  2136982799.0  1428833811.0  1.50    2.71     2.71  
System 2517.34 (MHz) duration 30 (sec) CPU avg. 336.68%
 CPU      Cycles      Instructions  CPI   Avg (%)  Max (%) 
  0   45645527028.0  66177691242.0  0.69   60.44    60.44  
  1   23867282808.0  35446641138.0  0.67   45.05    45.05  
  2   29699243075.0  36917813423.0  0.80   52.53    52.53  
  3   12268818654.0  17855348904.0  0.69   29.70    29.70  
  4    6441699253.0   7297515775.0  0.88    8.82     8.82  
  5   13072690972.0  18014235581.0  0.73   26.27    26.27  
  6    6092648173.0   7233788163.0  0.84    7.26     7.26  
  7     10987285.0     2826145.0    3.89    0.02     0.02  
  8   13399439443.0  16581590312.0  0.81   27.39    27.39  
  9   12426227547.0  17823240318.0  0.70   17.14    17.14  
  10   5584030614.0   5808746829.0  0.96    7.30     7.30  
  11  12357988313.0  17827050786.0  0.69   16.26    16.26  
  12   4673554106.0   5567054439.0  0.84    5.92     5.92  
  13  12294115086.0  17835418075.0  0.69   15.94    15.94  
  14   309762429.0     81504244.0   3.80    0.39     0.39  
  15  13463230394.0  18115821867.0  0.74   16.25    16.25  
