
System 2566.09 (MHz) duration 30 (sec) CPU avg. 50.74%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   3541206421.0  1061941193.0  3.33    4.60     4.60  
  1   2254142552.0  1056372226.0  2.13    5.25     5.25  
  2    41116649.0    22074970.0   1.86    0.05     0.05  
  3   2401646383.0  1135217750.0  2.12    4.47     4.47  
  4   1543669758.0  567116081.0   2.72    1.86     1.86  
  5   1657778231.0  738395655.0   2.25    3.03     3.03  
  6   567185520.0   203318810.0   2.79    0.68     0.68  
  7    1601256.0      457162.0    3.50    0.00     0.00  
  8   1138578255.0  414903764.0   2.74    1.76     1.76  
  9    8458620.0      924976.0    9.14    0.02     0.02  
  10  2611847531.0  1016702663.0  2.57    4.06     4.06  
  11   23464877.0    5988654.0    3.92    0.04     0.04  
  12  2322100437.0  953889541.0   2.43    6.17     6.17  
  13  1453309377.0  680747310.0   2.13    1.82     1.82  
  14  1926079331.0  811307740.0   2.37    4.95     4.95  
  15  5336204008.0  1637714856.0  3.26   11.99    11.99  
System 2660.78 (MHz) duration 30 (sec) CPU avg. 38.40%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   1550160569.0  558745658.0   2.77    1.94     1.94  
  1   2509813431.0  1185319875.0  2.12    6.97     6.97  
  2    42882179.0    22385163.0   1.92    0.05     0.05  
  3   3025261053.0  1425463198.0  2.12    8.40     8.40  
  4   222934042.0    76109342.0   2.93    0.27     0.27  
  5   1500475764.0  642264486.0   2.34    4.17     4.17  
  6    12883512.0    3093092.0    4.17    0.02     0.02  
  7    2970451.0      566413.0    5.24    0.00     0.00  
  8   759736796.0   274356156.0   2.77    0.91     0.91  
  9    7870967.0      840360.0    9.37    0.01     0.01  
  10  3697251597.0  1598788562.0  2.31    4.46     4.46  
  11   19991155.0    5344247.0    3.74    0.03     0.03  
  12  1527428391.0  561142367.0   2.72    2.00     2.00  
  13   5942346.0     1218715.0    4.88    0.01     0.01  
  14  3067061103.0  1287940370.0  2.38    4.02     4.02  
  15  2367996792.0  1113191276.0  2.13    5.14     5.14  
System 2612.11 (MHz) duration 30 (sec) CPU avg. 41.83%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   1541074710.0  546022170.0   2.82    1.97     1.97  
  1   2019087101.0  908888619.0   2.22    2.80     2.80  
  2    47172658.0    22952002.0   2.06    0.07     0.07  
  3   1986920835.0  899558861.0   2.21    3.04     3.04  
  4    22423442.0    3493569.0    6.42    0.03     0.03  
  5   1674110503.0  732578096.0   2.29    3.98     3.98  
  6   569341501.0   199701113.0   2.85    0.96     0.96  
  7    5491507.0     1019715.0    5.39    0.01     0.01  
  8    19262822.0    2647372.0    7.28    0.04     0.04  
  9    8997945.0      936406.0    9.61    0.01     0.01  
  10  4280355191.0  1907562224.0  2.24    5.10     5.10  
  11   17278095.0    4325931.0    3.99    0.02     0.02  
  12  2183454651.0  874407157.0   2.50    6.07     6.07  
  13  890974879.0   362208028.0   2.46    1.74     1.74  
  14  1698017301.0  697241145.0   2.44    3.30     3.30  
  15  5964375305.0  2129657450.0  2.80   12.69    12.69  
System 2594.38 (MHz) duration 30 (sec) CPU avg. 29.85%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   1481774957.0  538028597.0   2.75    1.90     1.90  
  1   1777961073.0  786506092.0   2.26    2.71     2.71  
  2    44062989.0    21698386.0   2.03    0.06     0.06  
  3   2773585432.0  1300138312.0  2.13    3.77     3.77  
  4    23603324.0    3660055.0    6.45    0.03     0.03  
  5   1795975170.0  787066954.0   2.28    4.99     4.99  
  6   1195276572.0  434083655.0   2.75    1.49     1.49  
  7    2378834.0      457650.0    5.20    0.01     0.01  
  8   1187661381.0  433392545.0   2.74    1.53     1.53  
  9    7414954.0      770372.0    9.63    0.02     0.02  
  10  919201565.0   413345160.0   2.22    1.12     1.12  
  11   9751934.0     1910551.0    5.10    0.02     0.02  
  12  3285731672.0  1458278325.0  2.25    3.91     3.91  
  13  762075426.0   304766499.0   2.50    1.14     1.14  
  14  2321367411.0  970586986.0   2.39    3.19     3.19  
  15  2491780761.0  1126849136.0  2.21    3.95     3.95  
System 2760.70 (MHz) duration 30 (sec) CPU avg. 39.73%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   1990476040.0  940267575.0   2.12    2.40     2.40  
  1   2799871521.0  1357132610.0  2.06    7.29     7.29  
  2   1307339294.0  622586242.0   2.10    1.58     1.58  
  3   3149927513.0  1544143555.0  2.04    4.59     4.59  
  4   1477249576.0  718910019.0   2.05    1.78     1.78  
  5   1714859934.0  748634495.0   2.29    4.76     4.76  
  6   427252371.0   195228202.0   2.19    0.51     0.51  
  7    1135726.0      342372.0    3.32    0.00     0.00  
  8   549460110.0   245162005.0   2.24    0.66     0.66  
  9    7705193.0      813248.0    9.47    0.01     0.01  
  10  914756580.0   443668922.0   2.06    1.93     1.93  
  11   9270030.0     1849576.0    5.01    0.02     0.02  
  12  1675622353.0  842130641.0   1.99    2.95     2.95  
  13   16254339.0    4731145.0    3.44    0.02     0.02  
  14  3478160308.0  1668343826.0  2.08    5.94     5.94  
  15  2369235060.0  790386627.0   3.00    5.27     5.27  
System 2783.83 (MHz) duration 30 (sec) CPU avg. 22.97%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   1899020654.0  993034034.0   1.91    2.27     2.27  
  1   1752179809.0  669408667.0   2.62    3.95     3.95  
  2    46036509.0    22707693.0   2.03    0.06     0.06  
  3   2226904278.0  989741360.0   2.25    3.18     3.18  
  4   1274147796.0  628337917.0   2.03    1.52     1.52  
  5   1407991954.0  395675699.0   3.56    3.91     3.91  
  6   1266167551.0  309298719.0   4.09    1.63     1.63  
  7    1576635.0      422298.0    3.73    0.00     0.00  
  8    29530987.0    5619247.0    5.26    0.04     0.04  
  9    7825453.0      790711.0    9.90    0.01     0.01  
  10   5620418.0     1122715.0    5.01    0.01     0.01  
  11   9421821.0     1874765.0    5.03    0.01     0.01  
  12  1306829873.0  677308665.0   1.93    1.59     1.59  
  13   17490367.0    4976673.0    3.51    0.03     0.03  
  14  1594580725.0  804887550.0   1.98    1.92     1.92  
  15  1287386625.0  272878227.0   4.72    2.83     2.83  
System 2210.47 (MHz) duration 30 (sec) CPU avg. 160.73%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0    4723588736.0  2293957621.0  2.06    7.12     7.12  
  1    8076157644.0  4035676015.0  2.00   18.02    18.02  
  2    3542805560.0  1767664098.0  2.00    4.35     4.35  
  3   15681901767.0  7758273508.0  2.02   38.91    38.91  
  4    5532536497.0  2685949769.0  2.06    6.60     6.60  
  5    6163979438.0  3102048695.0  1.99   14.86    14.86  
  6    5810464661.0  2853046847.0  2.04    7.75     7.75  
  7     3159295.0      666171.0    4.74    0.01     0.01  
  8    1839412547.0  886999458.0   2.07    2.21     2.21  
  9     6844586.0      766018.0    8.94    0.01     0.01  
  10   3453015404.0  1669240713.0  2.07    4.37     4.37  
  11   825492703.0   407708913.0   2.02    1.72     1.72  
  12   6398028495.0  2989247224.0  2.14   12.91    12.91  
  13   837649368.0   411559559.0   2.04    1.83     1.83  
  14   8983840753.0  4445077498.0  2.02   18.34    18.34  
  15  10408316903.0  3974197148.0  2.62   21.73    21.73  
System 2427.11 (MHz) duration 30 (sec) CPU avg. 128.02%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0    1576557482.0  764024673.0   2.06    2.17     2.17  
  1   12408630268.0  5684858800.0  2.18   18.55    18.55  
  2    9950746783.0  4953620216.0  2.01   17.07    17.07  
  3    4809512068.0  2415633159.0  1.99    7.46     7.46  
  4    5723602918.0  2614386782.0  2.19    6.90     6.90  
  5   10067292492.0  4434052094.0  2.27   15.49    15.49  
  6     16257980.0    2789683.0    5.83    0.02     0.02  
  7     2339817.0      580066.0    4.03    0.00     0.00  
  8    5067231739.0  2461265476.0  2.06    6.04     6.04  
  9     8540982.0     1029199.0    8.30    0.02     0.02  
  10   7287847378.0  3274627599.0  2.23   10.88    10.88  
  11   4859634884.0  2418373781.0  2.01   10.46    10.46  
  12   6247483708.0  3138592627.0  1.99    9.33     9.33  
  13   6907269680.0  2909473340.0  2.37    8.81     8.81  
  14   4756700830.0  2310184040.0  2.06    8.67     8.67  
  15   4894219231.0  2429516771.0  2.01    6.17     6.17  
System 2646.80 (MHz) duration 30 (sec) CPU avg. 137.93%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5136882685.0  1834707881.0  2.80    6.47     6.47  
  1   8669954887.0  3818847891.0  2.27   13.42    13.42  
