
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 3011.1
CRR, TCP, 1, 128, 2980.43
CRR, TCP, 1, 512, 2906.7
CRR, TCP, 1, 1024, 2892.27
CRR, TCP, 1, 9000, 2622.59
CRR, TCP, 1, 64000, 491.52
CRR, TCP, 4, 64, 14867
CRR, TCP, 4, 128, 14733.9
CRR, TCP, 4, 512, 14197.5
CRR, TCP, 4, 1024, 14075
CRR, TCP, 4, 9000, 11963.6
CRR, TCP, 4, 64000, 1957.34
CRR, TCP, 8, 64, 30845.1
CRR, TCP, 8, 128, 30307.4
CRR, TCP, 8, 512, 29360.4
CRR, TCP, 8, 1024, 28542.6
CRR, TCP, 8, 9000, 23406.7
CRR, TCP, 8, 64000, 4267.42
CRR, TCP, 16, 64, 53792.1
CRR, TCP, 16, 128, 52248.1
CRR, TCP, 16, 512, 50071.6
CRR, TCP, 16, 1024, 49786.2
CRR, TCP, 16, 9000, 39614.6
CRR, TCP, 16, 64000, 7205.43
