
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 3202.4
CRR, TCP, 1, 128, 3105.47
CRR, TCP, 1, 512, 3058.6
CRR, TCP, 1, 1024, 3027.54
CRR, TCP, 1, 9000, 2754.5
CRR, TCP, 1, 64000, 506.55
CRR, TCP, 4, 64, 15435.3
CRR, TCP, 4, 128, 15358.2
CRR, TCP, 4, 512, 15084.9
CRR, TCP, 4, 1024, 14707.8
CRR, TCP, 4, 9000, 12545.3
CRR, TCP, 4, 64000, 2240.3
CRR, TCP, 8, 64, 32000.5
CRR, TCP, 8, 128, 31656.7
CRR, TCP, 8, 512, 31035.8
CRR, TCP, 8, 1024, 30459.6
CRR, TCP, 8, 9000, 24047.1
CRR, TCP, 8, 64000, 4444.4
CRR, TCP, 16, 64, 57197.5
CRR, TCP, 16, 128, 57119.5
CRR, TCP, 16, 512, 55002.2
CRR, TCP, 16, 1024, 53000
CRR, TCP, 16, 9000, 41643
CRR, TCP, 16, 64000, 8072.61
