
System 1568.75 (MHz) duration 30 (sec) CPU avg. 64.74%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  4   13606248419.0   6329229534.0  2.15   17.83    17.83  
  5   17745789401.0  10089500867.0  1.76   23.02    23.02  
  6   15265115717.0   8284009962.0  1.84   18.33    18.33  
  7    381915224.0     86694257.0   4.41    0.51     0.51  
  8   12018044032.0   5601614390.0  2.15   14.36    14.36  
  9    9311659115.0   5299873836.0  1.76   11.16    11.16  
  10  18760084638.0   8580458904.0  2.19   22.64    22.64  
  11   436739366.0     89297255.0   4.89    0.58     0.58  
  12  17904702743.0   8695423570.0  2.06   27.19    27.19  
  13   295463433.0     77983394.0   3.79    0.50     0.50  
  14  22380596496.0   9757259974.0  2.29   29.13    29.13  
  15   9195813503.0   5300367672.0  1.73   11.52    11.52  
