
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 3262.17
CRR, TCP, 1, 128, 3008.6
CRR, TCP, 1, 512, 2973
CRR, TCP, 1, 1024, 2932.07
CRR, TCP, 1, 9000, 2675.5
CRR, TCP, 1, 64000, 488.06
CRR, TCP, 4, 64, 13394.3
CRR, TCP, 4, 128, 14451.7
CRR, TCP, 4, 512, 13612.1
CRR, TCP, 4, 1024, 13724.9
CRR, TCP, 4, 9000, 11400
CRR, TCP, 4, 64000, 2178.72
CRR, TCP, 8, 64, 29371.5
CRR, TCP, 8, 128, 29220
CRR, TCP, 8, 512, 28627
CRR, TCP, 8, 1024, 27603.2
CRR, TCP, 8, 9000, 22768.8
CRR, TCP, 8, 64000, 4309.61
CRR, TCP, 16, 64, 51706.9
CRR, TCP, 16, 128, 51836.3
CRR, TCP, 16, 512, 49806.5
CRR, TCP, 16, 1024, 47458.1
CRR, TCP, 16, 9000, 38823.7
CRR, TCP, 16, 64000, 7935.61
