
System 2700.86 (MHz) duration 30 (sec) CPU avg. 96.94%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5078721800.0  1641527489.0  3.09    6.27     6.27  
  1   3810918017.0  1706110483.0  2.23    7.58     7.58  
  2   6787887151.0  2087350643.0  3.25    8.09     8.09  
  3   2396763620.0  865833495.0   2.77    4.97     4.97  
  4   4418514363.0  1565594633.0  2.82    6.00     6.00  
  5   2402500825.0  854048878.0   2.81    3.92     3.92  
  6   5310849484.0  1734500052.0  3.06    6.60     6.60  
  7    2215695.0      543026.0    4.08    0.00     0.00  
  8   4763533778.0  1580151492.0  3.01    9.37     9.37  
  9   2422661230.0  855870797.0   2.83    3.38     3.38  
  10  6498015286.0  2002409970.0  3.25   12.27    12.27  
  11  2431378644.0  858541263.0   2.83    5.23     5.23  
  12  3375822392.0  1109485166.0  3.04    7.20     7.20  
  13  2421362450.0  857485202.0   2.82    3.35     3.35  
  14  5111956756.0  1669023049.0  3.06    6.15     6.15  
  15  2449830489.0  853972057.0   2.87    6.56     6.56  
System 1619.69 (MHz) duration 30 (sec) CPU avg. 105.12%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   4700270680.0  1493307467.0  3.15    9.67     9.67  
  1   3639820550.0  1645534252.0  2.21   10.12    10.12  
  2   9460466035.0  2787351017.0  3.39   23.60    23.60  
  3   2250951392.0  836153976.0   2.69    3.02     3.02  
  4   4984603892.0  1629285299.0  3.06    6.01     6.01  
  5   2260044225.0  824069811.0   2.74    5.88     5.88  
  6   3608036742.0  1251335318.0  2.88    4.58     4.58  
  7    1750179.0      533141.0    3.28    0.00     0.00  
  8   4970821697.0  1566995949.0  3.17    5.98     5.98  
  9   2284007953.0  825061347.0   2.77    6.35     6.35  
  10  3909238400.0  1304202829.0  3.00    4.66     4.66  
  11  2289035153.0  829683712.0   2.76    5.21     5.21  
  12  3480994363.0  1202789276.0  2.89    4.83     4.83  
  13  2270928001.0  825977115.0   2.75    6.31     6.31  
  14  4957292725.0  1683526090.0  2.94    6.12     6.12  
  15  2299261104.0  822715872.0   2.79    2.77     2.77  
System 2738.20 (MHz) duration 30 (sec) CPU avg. 100.60%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0    6181172562.0  1882563708.0  3.28    7.52     7.52  
  1    3549802244.0  1602333815.0  2.22    8.37     8.37  
  2    6440449347.0  2041486959.0  3.15   10.63    10.63  
  3    2184831270.0  813606099.0   2.69    3.01     3.01  
  4    5792531360.0  1895735510.0  3.06    7.45     7.45  
  5    2199993549.0  802786682.0   2.74    4.78     4.78  
  6    3902222213.0  1346082398.0  2.90    4.65     4.65  
  7     1148019.0      353401.0    3.25    0.00     0.00  
  8    4287879939.0  1400117154.0  3.06    6.29     6.29  
  9    2210852215.0  803501390.0   2.75    6.15     6.15  
  10   3253936173.0  1049621110.0  3.10    8.70     8.70  
  11   2212506515.0  804096235.0   2.75    5.49     5.49  
  12  10221863084.0  2893906588.0  3.53   12.30    12.30  
  13   2210960351.0  805239066.0   2.75    3.16     3.16  
  14   5389864704.0  1565556393.0  3.44    6.48     6.48  
  15   2230107545.0  800330024.0   2.79    5.63     5.63  
System 2777.58 (MHz) duration 30 (sec) CPU avg. 106.05%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5847144234.0  1780073122.0  3.28    7.02     7.02  
  1   3606600813.0  1610723906.0  2.24    9.25     9.25  
  2   4012650880.0  1374767671.0  2.92    4.78     4.78  
  3   2232642431.0  817855626.0   2.73    5.23     5.23  
  4   3710871811.0  1264936448.0  2.93    4.47     4.47  
  5   2241078791.0  805575854.0   2.78    5.93     5.93  
  6   4017646621.0  1379078998.0  2.91    5.21     5.21  
  7    2656256.0      547566.0    4.85    0.01     0.01  
  8   4555474157.0  1487369115.0  3.06   10.35    10.35  
  9   2261987373.0  806713284.0   2.80    3.19     3.19  
  10  5180040155.0  1635293788.0  3.17    9.97     9.97  
  11  2275217478.0  810486201.0   2.81    4.77     4.77  
  12  5362212858.0  1625491844.0  3.30   14.13    14.13  
  13  2257586791.0  807633138.0   2.80    4.51     4.51  
  14  8346246046.0  2468116576.0  3.38   11.46    11.46  
  15  2898143736.0  954137445.0   3.04    5.77     5.77  
System 2578.20 (MHz) duration 30 (sec) CPU avg. 87.33%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   3720502281.0  1240971474.0  3.00    4.81     4.81  
  1   3395191732.0  1537372236.0  2.21    6.57     6.57  
  2   6519644640.0  2223475927.0  2.93    7.86     7.86  
  3   2104798059.0  780972968.0   2.70    5.09     5.09  
  4   2961337116.0  1036335916.0  2.86    6.39     6.39  
  5   2097305634.0  760814687.0   2.76    5.06     5.06  
  6   3873422737.0  1431340251.0  2.71    5.73     5.73  
  7    1145366.0      322482.0    3.55    0.00     0.00  
  8   4626563306.0  1708660749.0  2.71    5.52     5.52  
  9   2108473829.0  758043549.0   2.78    2.57     2.57  
  10  6480098311.0  2253285858.0  2.88    8.27     8.27  
  11  2118831617.0  762302122.0   2.78    4.98     4.98  
  12  5105248693.0  1934658614.0  2.64    6.77     6.77  
  13  2116729549.0  766742205.0   2.76    5.06     5.06  
  14  4860537057.0  1542904620.0  3.15    6.53     6.53  
  15  2741856975.0  907029676.0   3.02    6.09     6.09  
System 2799.45 (MHz) duration 30 (sec) CPU avg. 47.35%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   1495600679.0  580010167.0   2.58    1.78     1.78  
  1   2023102164.0  768321908.0   2.63    5.55     5.55  
  2   1521575425.0  536842493.0   2.83    1.83     1.83  
  3   1762664397.0  391800629.0   4.50    3.10     3.10  
  4   2473843865.0  798954431.0   3.10    3.39     3.39  
  5   1764864038.0  355090152.0   4.97    2.55     2.55  
  6   1140113844.0  418759527.0   2.72    1.36     1.36  
  7    1295043.0      382211.0    3.39    0.00     0.00  
  8   1821095912.0  661025707.0   2.75    2.41     2.41  
  9   1737341192.0  339000402.0   5.12    4.83     4.83  
  10  2361554338.0  857237877.0   2.75    3.95     3.95  
  11  1741319743.0  340804501.0   5.11    2.31     2.31  
  12  1585072924.0  537375199.0   2.95    2.77     2.77  
  13  1754618613.0  357066207.0   4.91    4.23     4.23  
  14  4071248771.0  1334128756.0  3.05    4.94     4.94  
  15  1741686959.0  337767066.0   5.16    2.35     2.35  
System 2795.31 (MHz) duration 30 (sec) CPU avg. 255.32%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   20317688601.0  8949481652.0  2.27   24.23    24.23  
  1   12853333579.0  7287229081.0  1.76   27.78    27.78  
  2   12010185480.0  5092001736.0  2.36   19.28    19.28  
  3    6755669862.0  3787340322.0  1.78   13.95    13.95  
  4   11600321661.0  4710246887.0  2.46   25.09    25.09  
  5   11046103874.0  4806484629.0  2.30   23.28    23.28  
  6    8875966325.0  3743576907.0  2.37   12.05    12.05  
  7     3143635.0      690451.0    4.55    0.00     0.00  
  8    8792929784.0  3719216772.0  2.36   11.83    11.83  
  9    8788670116.0  4246794683.0  2.07   12.11    12.11  
  10   9975746198.0  4303087807.0  2.32   14.85    14.85  
  11   6819833530.0  3772798958.0  1.81   12.86    12.86  
  12  12763902794.0  5274510668.0  2.42   16.49    16.49  
  13   6711413106.0  3774391618.0  1.78    8.52     8.52  
  14   8343070183.0  3601128989.0  2.32   11.43    11.43  
  15   8661034053.0  4214963812.0  2.05   21.56    21.56  
System 1738.44 (MHz) duration 30 (sec) CPU avg. 244.09%
 CPU      Cycles      Instructions  CPI   Avg (%)  Max (%) 
  0   26118602610.0  11716387694.0  2.23   50.08    50.08  
  1   13264493010.0   7311157484.0  1.81   19.28    19.28  
  2   13844901373.0   5491177037.0  2.52   17.94    17.94  
  3    6668173858.0   3721533737.0  1.79    8.81     8.81  
  4   11851048011.0   4844635570.0  2.45   14.27    14.27  
  5   10688160595.0   4673911467.0  2.29   27.94    27.94  
  6   10883627451.0   4600855355.0  2.37   13.34    13.34  
  7     2295007.0       545642.0    4.21    0.00     0.00  
  8    9185583291.0   3699581406.0  2.48   12.55    12.55  
  9    6724287200.0   3695393427.0  1.82   10.09    10.09  
  10  10774250940.0   4574688407.0  2.36   18.14    18.14  
