
System 2797.97 (MHz) duration 30 (sec) CPU avg. 34.07%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  1   14696568135.0  7711019013.0  1.91   25.54    25.54  
  2    5662121977.0  3817502989.0  1.48    7.24     7.24  
  3    9219229254.0  4916331258.0  1.88   12.36    12.36  
  4    7196552708.0  4722408815.0  1.52   11.49    11.49  
  5   11590227625.0  6000043692.0  1.93   16.21    16.21  
  6   14373065128.0  9888219265.0  1.45   17.18    17.18  
  7    2898847800.0  1528847981.0  1.90    3.69     3.69  
  8    3611048943.0  2478361459.0  1.46    4.31     4.31  
  9    4028803372.0  2125696303.0  1.90    6.28     6.28  
  10   5381102983.0  3637399212.0  1.48    7.43     7.43  
  11   3450696026.0  1834642647.0  1.88    4.12     4.12  
  12  13713944967.0  9319241403.0  1.47   23.91    23.91  
  13   7462055793.0  3742951371.0  1.99    9.79     9.79  
  14  11500683833.0  7938866196.0  1.45   18.03    18.03  
  15   8267414409.0  4227521625.0  1.96   17.16    17.16  
