
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 3295.19
CRR, TCP, 1, 128, 3150.47
CRR, TCP, 1, 512, 3099.47
CRR, TCP, 1, 1024, 3073.24
CRR, TCP, 1, 9000, 2795.72
CRR, TCP, 1, 64000, 496.13
CRR, TCP, 4, 64, 15468.7
CRR, TCP, 4, 128, 15822.9
CRR, TCP, 4, 512, 15018.8
CRR, TCP, 4, 1024, 14616
CRR, TCP, 4, 9000, 12454.3
CRR, TCP, 4, 64000, 2226.55
CRR, TCP, 8, 64, 32004.4
CRR, TCP, 8, 128, 31937.6
CRR, TCP, 8, 512, 31362.7
CRR, TCP, 8, 1024, 30157.3
CRR, TCP, 8, 9000, 24172.7
CRR, TCP, 8, 64000, 4226.93
CRR, TCP, 16, 64, 57692.5
CRR, TCP, 16, 128, 57174.5
CRR, TCP, 16, 512, 54750.7
CRR, TCP, 16, 1024, 53134.9
CRR, TCP, 16, 9000, 42008.8
CRR, TCP, 16, 64000, 8086.45
