
System 2766.95 (MHz) duration 30 (sec) CPU avg. 97.87%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   8053794306.0  2454642241.0  3.28    9.70     9.70  
  1   3546815034.0  1624723248.0  2.18    4.46     4.46  
  2   3634846426.0  1242057620.0  2.93    9.87     9.87  
  3   4478684164.0  1859422167.0  2.41    6.29     6.29  
  4   7416585507.0  2203625105.0  3.37   13.14    13.14  
  5   3592033146.0  1622961025.0  2.21    8.86     8.86  
  6   4427865210.0  1460288640.0  3.03    5.28     5.28  
  7    3784108.0      808749.0    4.68    0.01     0.01  
  8   6535874068.0  2062445969.0  3.17    9.94     9.94  
  9   2208048329.0  814425179.0   2.71    2.91     2.91  
  10  6714741764.0  2096027368.0  3.20    8.83     8.83  
  11   3856135.0      804160.0    4.80    0.01     0.01  
  12  4255388819.0  1377559439.0  3.09    5.12     5.12  
  13   22705355.0    5814405.0    3.91    0.03     0.03  
  14  3606229846.0  1168118185.0  3.09    4.92     4.92  
  15  3677383446.0  1169522631.0  3.14    8.51     8.51  
System 2708.98 (MHz) duration 30 (sec) CPU avg. 80.56%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   1298275243.0  453824486.0   2.86    1.60     1.60  
  1   3517047888.0  1608414098.0  2.19    7.65     7.65  
  2   5020395448.0  1695537519.0  2.96    6.59     6.59  
  3   3554327280.0  1624329802.0  2.19    4.79     4.79  
  4   4805871238.0  1556515481.0  3.09    5.72     5.72  
  5   5865611605.0  2168915387.0  2.70   13.51    13.51  
  6   6187870011.0  2034202179.0  3.04    9.11     9.11  
  7    2906255.0      582323.0    4.99    0.01     0.01  
  8   4720031423.0  1433277371.0  3.29    7.11     7.11  
  9   2177693811.0  806424015.0   2.70    2.62     2.62  
  10  4065956464.0  1262487125.0  3.22    5.55     5.55  
  11   5165145.0     1095275.0    4.72    0.01     0.01  
  12  3636796857.0  1375297712.0  2.64    4.34     4.34  
  13   21204238.0    5515085.0    3.84    0.04     0.04  
  14  4438862349.0  1544610944.0  2.87    5.31     5.31  
  15  3645000985.0  1165426308.0  3.13    6.60     6.60  
System 2398.98 (MHz) duration 30 (sec) CPU avg. 81.99%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5843920861.0  1774380708.0  3.29    8.12     8.12  
  1   3549780059.0  1575880081.0  2.25    7.26     7.26  
  2   5616714494.0  1734584372.0  3.24    7.75     7.75  
  3   3539471072.0  1579920456.0  2.24    4.56     4.56  
  4   6807359747.0  2010960670.0  3.39    8.60     8.60  
  5   3921691281.0  1649838647.0  2.38    5.74     5.74  
  6   5461223040.0  1686506315.0  3.24    6.51     6.51  
  7    3907994.0      946057.0    4.13    0.01     0.01  
  8   3381430703.0  1154597056.0  2.93    4.49     4.49  
  9   2196172157.0  785335811.0   2.80    5.60     5.60  
  10  6072662367.0  1826338042.0  3.33    7.84     7.84  
  11   9200867.0     1824690.0    5.04    0.01     0.01  
  12  3926472673.0  1331965984.0  2.95    4.68     4.68  
  13   16884503.0    4896755.0    3.45    0.02     0.02  
  14  4559465577.0  1465639580.0  3.11    6.39     6.39  
  15  2194097017.0  782899323.0   2.80    4.41     4.41  
System 1607.66 (MHz) duration 30 (sec) CPU avg. 89.01%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   7069293918.0  2185207036.0  3.24   14.66    14.66  
  1   3489144778.0  1554688250.0  2.24    8.78     8.78  
  2   4264825221.0  1273929781.0  3.35    5.46     5.46  
  3   3511324178.0  1568058100.0  2.24    8.37     8.37  
