
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 3182.16
CRR, TCP, 1, 128, 2981.02
CRR, TCP, 1, 512, 2941.67
CRR, TCP, 1, 1024, 2889.34
CRR, TCP, 1, 9000, 2612.76
CRR, TCP, 1, 64000, 484.69
CRR, TCP, 4, 64, 15139.3
CRR, TCP, 4, 128, 14701.3
CRR, TCP, 4, 512, 14086
CRR, TCP, 4, 1024, 13719
CRR, TCP, 4, 9000, 11670.6
CRR, TCP, 4, 64000, 2148.7
CRR, TCP, 8, 64, 30824.5
CRR, TCP, 8, 128, 29738
CRR, TCP, 8, 512, 29129.1
CRR, TCP, 8, 1024, 28765.6
CRR, TCP, 8, 9000, 23193
CRR, TCP, 8, 64000, 4311.29
CRR, TCP, 16, 64, 53667.4
CRR, TCP, 16, 128, 51937.2
CRR, TCP, 16, 512, 51402.4
CRR, TCP, 16, 1024, 48486.8
CRR, TCP, 16, 9000, 40187.5
CRR, TCP, 16, 64000, 7929.25
