
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 3108.82
CRR, TCP, 1, 128, 3107.45
CRR, TCP, 1, 512, 3063.19
CRR, TCP, 1, 1024, 3029.74
CRR, TCP, 1, 9000, 2743.64
CRR, TCP, 1, 64000, 504.99
CRR, TCP, 4, 64, 15597.1
CRR, TCP, 4, 128, 15446.2
CRR, TCP, 4, 512, 15150.4
CRR, TCP, 4, 1024, 15233.4
CRR, TCP, 4, 9000, 12415.8
CRR, TCP, 4, 64000, 2208.15
CRR, TCP, 8, 64, 32071
CRR, TCP, 8, 128, 31649.4
CRR, TCP, 8, 512, 31399.4
CRR, TCP, 8, 1024, 30182.9
CRR, TCP, 8, 9000, 23996.7
CRR, TCP, 8, 64000, 4400.19
CRR, TCP, 16, 64, 57971.5
CRR, TCP, 16, 128, 57095.1
CRR, TCP, 16, 512, 54950.9
CRR, TCP, 16, 1024, 53086.1
CRR, TCP, 16, 9000, 42105.8
CRR, TCP, 16, 64000, 7417.8
