
System 2677.58 (MHz) duration 30 (sec) CPU avg. 158.07%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   11721532834.0  3445265678.0  3.40   14.59    14.59  
  1    3826616139.0  1874662977.0  2.04    5.54     5.54  
  2    8745458716.0  2644534848.0  3.31   11.52    11.52  
  3    3721270583.0  1838845142.0  2.02    5.50     5.50  
  4    9430477485.0  2835050092.0  3.33   26.20    26.20  
  5    3781838843.0  1847757619.0  2.05    4.86     4.86  
  6   11345976190.0  3317080721.0  3.42   14.06    14.06  
  7    282411882.0    64767304.0   4.36    0.34     0.34  
  8   13548437095.0  3833602784.0  3.53   16.16    16.16  
  9    3062125741.0  1121012337.0  2.73    6.39     6.39  
  10   6243115544.0  1878082882.0  3.32    7.56     7.56  
  11   190157931.0    41586383.0   4.57    0.33     0.33  
  12  13897036063.0  4131256431.0  3.36   28.95    28.95  
  13   239964263.0    44318512.0   5.41    0.55     0.55  
  14   8500051910.0  2616817710.0  3.25   11.90    11.90  
  15   2392941033.0  970022381.0   2.47    3.61     3.61  
System 2762.11 (MHz) duration 30 (sec) CPU avg. 113.29%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   10593107567.0  3119566745.0  3.40   12.78    12.78  
  1    3336380646.0  1752539943.0  1.90    4.43     4.43  
  2   10581261319.0  3108235060.0  3.40   12.60    12.60  
  3    3353845886.0  1753893951.0  1.91    4.31     4.31  
  4    8216330980.0  2495352654.0  3.29   13.64    13.64  
  5    3382719208.0  1747034497.0  1.94    4.51     4.51  
  6   11856665801.0  3395185061.0  3.49   14.20    14.20  
  7    257219974.0    49003149.0   5.25    0.35     0.35  
  8    4690550640.0  1500730207.0  3.13    5.81     5.81  
  9    1995652267.0  898241930.0   2.22    4.80     4.80  
  10   5418325141.0  1769424867.0  3.06    6.60     6.60  
  11   185423120.0    54248961.0   3.42    0.23     0.23  
  12   8044252741.0  2534567716.0  3.17   10.93    10.93  
  13   172857332.0    47203458.0   3.66    0.28     0.28  
  14   8089730465.0  2460622927.0  3.29   14.54    14.54  
  15   1963125398.0  886797997.0   2.21    3.28     3.28  
System 2787.73 (MHz) duration 30 (sec) CPU avg. 82.12%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5354400327.0  1896786408.0  2.82    6.40     6.40  
  1   3249002028.0  1675501814.0  1.94    4.33     4.33  
  2   6635066237.0  2081953098.0  3.19    7.92     7.92  
  3   3333883267.0  1703458992.0  1.96    4.45     4.45  
  4   6519230017.0  2041935256.0  3.19    9.16     9.16  
  5   3395337996.0  1709980474.0  1.99    4.21     4.21  
  6   4501341524.0  1376291762.0  3.27    5.39     5.39  
  7   234696002.0    62459837.0   3.76    0.32     0.32  
  8   5748035759.0  1676714712.0  3.43    7.04     7.04  
