
System 2766.25 (MHz) duration 30 (sec) CPU avg. 94.30%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   7391622201.0  2276881025.0  3.25    8.91     8.91  
  1   3569174117.0  1628322497.0  2.19    6.94     6.94  
  2   6217476749.0  1936642261.0  3.21    7.41     7.41  
  3   2208978139.0  826392601.0   2.67    2.71     2.71  
  4   3541410022.0  1112504395.0  3.18    5.22     5.22  
  5   2223009961.0  815033668.0   2.73    5.47     5.47  
  6   4645130105.0  1670586820.0  2.78    6.65     6.65  
  7    2068326.0      598475.0    3.46    0.00     0.00  
  8   5276242893.0  1566612582.0  3.37    8.25     8.25  
  9   2241806291.0  816400742.0   2.75    2.84     2.84  
  10  2773001566.0  962674255.0   2.88    3.55     3.55  
  11  2242095985.0  816219389.0   2.75    2.86     2.86  
  12  5336790110.0  1711848285.0  3.12   10.71    10.71  
  13  2240858276.0  819337662.0   2.73    4.73     4.73  
  14  9308489379.0  2805719604.0  3.32   14.69    14.69  
  15  2254587840.0  813972859.0   2.77    3.35     3.35  
System 2409.38 (MHz) duration 30 (sec) CPU avg. 96.38%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   3464163764.0  1143893241.0  3.03    4.79     4.79  
  1   3552813798.0  1634963509.0  2.17    9.01     9.01  
  2   4690556688.0  1522949044.0  3.08    7.61     7.61  
  3   4485656085.0  1395736392.0  3.21   11.55    11.55  
  4   4461904897.0  1541136583.0  2.90    5.66     5.66  
  5   2192202839.0  819040933.0   2.68    5.78     5.78  
  6   3707286696.0  1194558137.0  3.10    4.52     4.52  
  7    1622619.0      560274.0    2.90    0.00     0.00  
  8   5109561828.0  1680005605.0  3.04    6.36     6.36  
  9   2204524464.0  819754029.0   2.69    6.12     6.12  
  10  5413780942.0  1785840082.0  3.03    6.53     6.53  
  11  2213127067.0  819783532.0   2.70    2.78     2.78  
  12  6486196235.0  2021803195.0  3.21   12.64    12.64  
  13  2201776709.0  821493784.0   2.68    5.18     5.18  
  14  4155393412.0  1426388421.0  2.91    4.96     4.96  
  15  2220556940.0  817722021.0   2.72    2.90     2.90  
System 2387.26 (MHz) duration 30 (sec) CPU avg. 92.42%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   3666716272.0  1150382275.0  3.19    5.12     5.12  
  1   3591269614.0  1596973402.0  2.25    4.60     4.60  
  2   3674329328.0  1128447602.0  3.26    7.48     7.48  
  3   2198135354.0  807205884.0   2.72    5.10     5.10  
  4   6646950170.0  2078617816.0  3.20   11.32    11.32  
  5   2212788751.0  795312556.0   2.78    2.63     2.63  
  6   5941256067.0  1940793797.0  3.06   11.28    11.28  
  7    2425714.0      692236.0    3.50    0.01     0.01  
  8   5011716879.0  1685775384.0  2.97    8.15     8.15  
  9   2229140422.0  796604158.0   2.80    2.89     2.89  
  10  3780016679.0  1169295597.0  3.23    5.23     5.23  
  11  2245090789.0  799866677.0   2.81    5.02     5.02  
  12  4595738136.0  1372357771.0  3.35    5.80     5.80  
  13  2223784243.0  796556446.0   2.79    5.08     5.08  
  14  5262880971.0  1753755908.0  3.00    9.92     9.92  
  15  2238762137.0  793753284.0   2.82    2.80     2.80  
System 2796.72 (MHz) duration 30 (sec) CPU avg. 99.71%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5726828298.0  1772732158.0  3.23    6.83     6.83  
  1   3524457415.0  1576342874.0  2.24    8.62     8.62  
  2   5345408931.0  1667500439.0  3.21    8.13     8.13  
  3   2707076787.0  927915851.0   2.92    6.10     6.10  
  4   5368432176.0  1651915512.0  3.25    6.81     6.81  
  5   2191281061.0  789098379.0   2.78    5.97     5.97  
  6   6321421838.0  1909005138.0  3.31    7.96     7.96  
  7    2493044.0      746672.0    3.34    0.01     0.01  
  8   5073888410.0  1592756315.0  3.19   12.51    12.51  
  9   2213423296.0  790310036.0   2.80    4.68     4.68  
  10  5124549745.0  1607682408.0  3.19    6.21     6.21  
  11  2225925469.0  792497912.0   2.81    2.98     2.98  
  12  5340018881.0  1673084504.0  3.19    6.43     6.43  
  13  2205134281.0  790167147.0   2.79    6.13     6.13  
  14  5633817889.0  1720930350.0  3.27    7.06     7.06  
  15  2223245161.0  787943289.0   2.82    3.28     3.28  
System 2773.75 (MHz) duration 30 (sec) CPU avg. 96.15%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   8666789129.0  2701798592.0  3.21   10.42    10.42  
  1   3354987091.0  1526983593.0  2.20    7.39     7.39  
  2   5638866407.0  2013479276.0  2.80    6.85     6.85  
  3   2082292935.0  776878079.0   2.68    2.71     2.71  
  4   4149887037.0  1358100199.0  3.06    6.63     6.63  
  5   4412552547.0  1327086136.0  3.32   12.26    12.26  
  6   4410886105.0  1411600185.0  3.12    5.26     5.26  
  7    1600810.0      466380.0    3.43    0.00     0.00  
  8   4553946949.0  1472092901.0  3.09    6.34     6.34  
  9   2089385393.0  753327455.0   2.77    2.68     2.68  
  10  5459109920.0  1955497809.0  2.79    6.91     6.91  
  11  2098188138.0  757305334.0   2.77    4.52     4.52  
  12  6957282151.0  2319415857.0  3.00   11.02    11.02  
  13  2094627584.0  761562086.0   2.75    4.59     4.59  
  14  2238657936.0  897236080.0   2.50    6.00     6.00  
  15  2090052320.0  751236347.0   2.78    2.57     2.57  
System 2772.81 (MHz) duration 30 (sec) CPU avg. 51.49%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   1577773011.0  567310749.0   2.78    1.90     1.90  
  1   1994687448.0  760524095.0   2.62    3.94     3.94  
  2   2420046443.0  749914249.0   3.23    2.88     2.88  
  3   1748986377.0  389872163.0   4.49    2.18     2.18  
  4   3354891644.0  1161084819.0  2.89    5.29     5.29  
  5   1755647822.0  353761093.0   4.96    4.64     4.64  
  6   1428224848.0  478847287.0   2.98    1.98     1.98  
  7    1972325.0      616209.0    3.20    0.00     0.00  
  8   2313894670.0  859727390.0   2.69    2.84     2.84  
  9   1741749575.0  337052223.0   5.17    2.39     2.39  
  10  2210892634.0  653948310.0   3.38    3.14     3.14  
  11  2183696282.0  455241205.0   4.80    5.09     5.09  
  12  2015004447.0  648405124.0   3.11    4.40     4.40  
  13  1740661947.0  356189286.0   4.89    4.13     4.13  
  14  1963897729.0  703120248.0   2.79    2.89     2.89  
  15  1727532197.0  337772152.0   5.11    3.80     3.80  
System 2506.64 (MHz) duration 30 (sec) CPU avg. 224.39%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   12134063050.0  5464669348.0  2.22   16.14    16.14  
  1   12927792915.0  7363782670.0  1.76   16.32    16.32  
  2   10640330233.0  4694621965.0  2.27   13.90    13.90  
  3    6758492564.0  3822348885.0  1.77   15.57    15.57  
  4   10440094692.0  4499254097.0  2.32   12.44    12.44  
  5    6856747504.0  3798373982.0  1.81   18.79    18.79  
  6   12787133793.0  5266723408.0  2.43   17.68    17.68  
  7     2025328.0      624988.0    3.24    0.00     0.00  
  8   10680776290.0  4586940060.0  2.33   13.01    13.01  
  9    6933329851.0  3807158417.0  1.82   10.59    10.59  
  10  14027123254.0  5935709809.0  2.36   17.55    17.55  
