
System 2727.11 (MHz) duration 30 (sec) CPU avg. 40.03%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0    18620416.0    3105477.0    6.00    0.02     0.02  
  1   1916148211.0  878453953.0   2.18    4.40     4.40  
  2   2950463394.0  1286704720.0  2.29    4.15     4.15  
  3   2913120384.0  1420115095.0  2.05    4.95     4.95  
  4   2564144214.0  1060832932.0  2.42    3.06     3.06  
  5   1359296119.0  577719152.0   2.35    2.35     2.35  
  6   1640728615.0  601551559.0   2.73    2.66     2.66  
  7   1350856588.0  578363246.0   2.34    1.82     1.82  
  8   322286397.0   112954153.0   2.85    0.42     0.42  
  9    8757569.0     1087096.0    8.06    0.01     0.01  
  10  1669960150.0  602945033.0   2.77    2.20     2.20  
  11   25302872.0    6060448.0    4.18    0.03     0.03  
  12  1777364626.0  664808203.0   2.67    3.42     3.42  
  13  1374721364.0  579069155.0   2.37    2.84     2.84  
  14  1513930348.0  562648914.0   2.69    2.19     2.19  
  15  3273077635.0  1052040048.0  3.11    5.49     5.49  
System 2615.23 (MHz) duration 30 (sec) CPU avg. 30.55%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   927185896.0   344761933.0   2.69    1.18     1.18  
  1   1303275819.0  554209140.0   2.35    2.90     2.90  
  2   1099387092.0  485110912.0   2.27    1.56     1.56  
  3   3323197267.0  1650142678.0  2.01    4.48     4.48  
  4   1209813401.0  483889699.0   2.50    1.61     1.61  
  5   1306781987.0  554437973.0   2.36    1.66     1.66  
  6   1533543516.0  617887211.0   2.48    1.85     1.85  
  7   1301756495.0  553155988.0   2.35    2.62     2.62  
  8   1199323670.0  473326243.0   2.53    1.44     1.44  
  9    8932540.0     1867025.0    4.78    0.01     0.01  
  10  1537918925.0  564650068.0   2.72    1.92     1.92  
  11   24724341.0    6129370.0    4.03    0.06     0.06  
  12  1943970915.0  779662048.0   2.49    2.48     2.48  
  13  1320932957.0  554491371.0   2.38    1.73     1.73  
  14  1844480819.0  779590016.0   2.37    2.20     2.20  
  15  1324822287.0  563657800.0   2.35    2.85     2.85  
System 2560.08 (MHz) duration 30 (sec) CPU avg. 30.90%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   401206584.0   140291644.0   2.86    0.52     0.52  
  1   1895776616.0  872802032.0   2.17    2.26     2.26  
  2    48633256.0    22708179.0   2.14    0.06     0.06  
  3   2082670592.0  979135203.0   2.13    3.00     3.00  
  4   3735719100.0  1373796006.0  2.72    4.45     4.45  
  5   1899330778.0  873611108.0   2.17    2.42     2.42  
  6   1146179974.0  409132791.0   2.80    1.38     1.38  
  7   1279424995.0  547228291.0   2.34    2.76     2.76  
  8   652839966.0   265058154.0   2.46    0.79     0.79  
  9    8464161.0      986495.0    8.58    0.01     0.01  
  10  1136949470.0  409999274.0   2.77    1.38     1.38  
  11   24420020.0    6009783.0    4.06    0.05     0.05  
  12  1500092360.0  545913513.0   2.75    2.86     2.86  
  13  1300364652.0  548175252.0   2.37    1.73     1.73  
  14  3346718339.0  1491429655.0  2.24    4.66     4.66  
  15  1306632813.0  557194970.0   2.35    2.55     2.55  
System 2614.30 (MHz) duration 30 (sec) CPU avg. 34.77%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0    22600221.0    3764598.0    6.00    0.03     0.03  
  1   1817446081.0  834058947.0   2.18    3.44     3.44  
  2    40394931.0    21204253.0   1.91    0.05     0.05  
  3   3285471081.0  1619750047.0  2.03    6.56     6.56  
  4   1062462057.0  404896083.0   2.62    1.88     1.88  
  5   1293532256.0  543805867.0   2.38    2.22     2.22  
  6   1570400237.0  625735794.0   2.51    1.89     1.89  
  7   596626092.0   252099398.0   2.37    1.23     1.23  
  8   800467881.0   288730475.0   2.77    0.95     0.95  
  9    7899642.0      858122.0    9.21    0.01     0.01  
  10  4094519617.0  1618232173.0  2.53    6.70     6.70  
  11   23728676.0    5983020.0    3.97    0.05     0.05  
  12  1449728541.0  536176321.0   2.70    2.11     2.11  
  13  1307297702.0  544981511.0   2.40    1.69     1.69  
  14  2245560173.0  1006349479.0  2.23    3.11     3.11  
  15  1312767464.0  553501244.0   2.37    2.83     2.83  
System 2732.34 (MHz) duration 30 (sec) CPU avg. 32.67%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0    12727475.0    2095414.0    6.07    0.02     0.02  
  1   1927408105.0  885957991.0   2.18    3.91     3.91  
  2   890674892.0   137403165.0   6.48    1.06     1.06  
  3   3513583487.0  1740457881.0  2.02    4.40     4.40  
  4   2783191933.0  1315171999.0  2.12    3.32     3.32  
  5   1326885504.0  530446298.0   2.50    3.69     3.69  
  6   948985870.0   424371785.0   2.24    1.22     1.22  
  7    1279839.0      354418.0    3.61    0.00     0.00  
  8   1739802403.0  761486548.0   2.28    2.27     2.27  
  9    7625490.0      794046.0    9.60    0.01     0.01  
  10  1884532511.0  905967039.0   2.08    2.28     2.28  
  11   25115709.0    6215554.0    4.04    0.06     0.06  
  12  2313267508.0  1112393714.0  2.08    2.85     2.85  
  13  1320131415.0  533977606.0   2.47    1.74     1.74  
