
System 2545.23 (MHz) duration 30 (sec) CPU avg. 29.23%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   168985319.0    63385275.0   2.67    0.22     0.22  
  1   2269169178.0  1165728435.0  1.95    2.96     2.96  
  2   2752685240.0  1305142492.0  2.11    3.52     3.52  
  3   1337804129.0  700412570.0   1.91    1.78     1.78  
  4   1245349635.0  580907716.0   2.14    1.75     1.75  
  5   1212110139.0  619698812.0   1.96    1.60     1.60  
  6    16741674.0    3539582.0    4.73    0.02     0.02  
  7   1266227036.0  652594744.0   1.94    1.56     1.56  
  8    33002637.0    6156449.0    5.36    0.09     0.09  
  9   1292013073.0  651423859.0   1.98    1.72     1.72  
  10  1585714800.0  656276460.0   2.42    2.23     2.23  
  11   70373334.0    35359945.0   1.99    0.10     0.10  
  12  2235920635.0  986590239.0   2.27    4.43     4.43  
  13  1269199686.0  651996284.0   1.95    1.51     1.51  
  14  3422128275.0  1617946433.0  2.12    4.07     4.07  
  15  1323933286.0  692328476.0   1.91    1.65     1.65  
System 2357.66 (MHz) duration 30 (sec) CPU avg. 30.82%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   523047309.0   216322866.0   2.42    0.74     0.74  
  1   4955563365.0  2020999960.0  2.45    6.49     6.49  
  2   1408384338.0  640972292.0   2.20    1.77     1.77  
  3   1211040428.0  628422900.0   1.93    1.63     1.63  
  4   529226529.0   216040269.0   2.45    0.67     0.67  
  5   1786230768.0  747007173.0   2.39    2.39     2.39  
  6    37191036.0    6923904.0    5.37    0.04     0.04  
  7   434566507.0   218392603.0   1.99    0.57     0.57  
  8    15140749.0    2391624.0    6.33    0.02     0.02  
  9   1276002874.0  636250617.0   2.01    1.58     1.58  
  10  1945793718.0  834410642.0   2.33    2.34     2.34  
  11   80386915.0    37440861.0   2.15    0.11     0.11  
  12  2745425153.0  1254822139.0  2.19    3.30     3.30  
  13  1249116958.0  637059008.0   1.96    1.55     1.55  
  14  3616666045.0  1778593653.0  2.03    4.86     4.86  
  15  1306075333.0  677271152.0   1.93    2.75     2.75  
