
System 2767.11 (MHz) duration 30 (sec) CPU avg. 112.70%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  6   12573866827.0  15825243813.0  0.79   21.44    21.44  
  7    190511382.0     28890461.0   6.59    0.23     0.23  
  8   24696746822.0  32369185317.0  0.76   33.76    33.76  
  9   16063353039.0  21720796489.0  0.74   36.97    36.97  
  10  11765912134.0  14970050155.0  0.79   14.56    14.56  
  11  15855049780.0  21840194438.0  0.73   36.50    36.50  
  12  16331505466.0  21763480695.0  0.75   19.81    19.81  
  13  17818722577.0  22249223615.0  0.80   23.52    23.52  
  14  10986333512.0  15084123668.0  0.73   14.21    14.21  
  15  16117406110.0  21946361821.0  0.73   25.25    25.25  
