
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 2316.41
CRR, TCP, 1, 128, 2306.35
CRR, TCP, 1, 512, 2280.09
CRR, TCP, 1, 1024, 2258.76
CRR, TCP, 1, 9000, 2100.64
CRR, TCP, 1, 64000, 376.5
CRR, TCP, 4, 64, 10292.1
CRR, TCP, 4, 128, 10239.2
CRR, TCP, 4, 512, 10090.8
CRR, TCP, 4, 1024, 10158.6
CRR, TCP, 4, 9000, 8556.92
CRR, TCP, 4, 64000, 1762.04
CRR, TCP, 8, 64, 16860.6
CRR, TCP, 8, 128, 15632.8
CRR, TCP, 8, 512, 18054.7
CRR, TCP, 8, 1024, 16006.3
CRR, TCP, 8, 9000, 14959.1
CRR, TCP, 8, 64000, 3596.79
CRR, TCP, 16, 64, 22911.3
CRR, TCP, 16, 128, 25789.3
CRR, TCP, 16, 512, 20498.3
CRR, TCP, 16, 1024, 25449.4
CRR, TCP, 16, 9000, 17341.7
CRR, TCP, 16, 64000, 6367.8
