
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 3209.03
CRR, TCP, 1, 128, 2952.89
CRR, TCP, 1, 512, 2933.05
CRR, TCP, 1, 1024, 2965.63
CRR, TCP, 1, 9000, 2634.1
CRR, TCP, 1, 64000, 467.02
CRR, TCP, 4, 64, 14752.1
CRR, TCP, 4, 128, 14926.8
CRR, TCP, 4, 512, 14425.5
CRR, TCP, 4, 1024, 14001.7
CRR, TCP, 4, 9000, 11783.3
CRR, TCP, 4, 64000, 2150.21
CRR, TCP, 8, 64, 31094.8
CRR, TCP, 8, 128, 30389.6
CRR, TCP, 8, 512, 29679.8
CRR, TCP, 8, 1024, 28858.9
CRR, TCP, 8, 9000, 23461.3
CRR, TCP, 8, 64000, 4313.69
CRR, TCP, 16, 64, 55023.4
CRR, TCP, 16, 128, 54646.2
CRR, TCP, 16, 512, 50141.9
CRR, TCP, 16, 1024, 49353.6
CRR, TCP, 16, 9000, 38764.3
CRR, TCP, 16, 64000, 8017.99
