
System 2196.09 (MHz) duration 30 (sec) CPU avg. 99.16%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   4982181743.0  2015363467.0  2.47    7.56     7.56  
  1   4988339313.0  2773606288.0  1.80    8.65     8.65  
  2   4164335621.0  1720613356.0  2.42    6.82     6.82  
  3   4972847627.0  2761004360.0  1.80    6.23     6.23  
  4   4929579374.0  1939575270.0  2.54    9.02     9.02  
  5   5012454726.0  2767696418.0  1.81   11.60    11.60  
  6   4759866861.0  1878499000.0  2.53    5.67     5.67  
  7    1412878.0      428595.0    3.30    0.00     0.00  
  8   5368812511.0  2211274483.0  2.43    6.52     6.52  
  9   2934640025.0  1386528411.0  2.12    4.15     4.15  
  10  4024447741.0  1772919895.0  2.27    5.50     5.50  
  11   4974212.0     1048734.0    4.74    0.01     0.01  
  12  7016958881.0  2471790593.0  2.84    8.35     8.35  
  13   13841784.0    3364984.0    4.11    0.02     0.02  
  14  4880207150.0  2034231361.0  2.40   12.01    12.01  
  15  2914473040.0  1382315872.0  2.11    7.04     7.04  
System 2499.61 (MHz) duration 30 (sec) CPU avg. 109.47%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   8816763638.0  3181151899.0  2.77   11.76    11.76  
  1   4966425043.0  2759546846.0  1.80   11.86    11.86  
  2   5428565503.0  1915887560.0  2.83    8.17     8.17  
  3   4983334762.0  2777265198.0  1.79   13.19    13.19  
  4   5093782683.0  2002459121.0  2.54    6.08     6.08  
  5   5020332065.0  2761555188.0  1.82   12.42    12.42  
  6   6408403246.0  2322283086.0  2.76    7.63     7.63  
  7    2177001.0      576913.0    3.77    0.00     0.00  
  8   5396459307.0  2103830790.0  2.57    6.74     6.74  
  9   2917637709.0  1380606526.0  2.11    6.04     6.04  
  10  4540473580.0  1899744261.0  2.39    5.71     5.71  
  11   10106064.0    2516954.0    4.02    0.01     0.01  
  12  6166889104.0  2284152159.0  2.70    8.14     8.14  
  13   15471716.0    3819281.0    4.05    0.04     0.04  
  14  3962181367.0  1644052371.0  2.41    5.62     5.62  
  15  2908546943.0  1381201002.0  2.11    6.04     6.04  
System 2508.67 (MHz) duration 30 (sec) CPU avg. 105.61%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5886944759.0  2167516161.0  2.72    7.82     7.82  
  1   4960946220.0  2759288642.0  1.80   13.17    13.17  
  2   4479076901.0  1895729032.0  2.36    6.51     6.51  
  3   4984219151.0  2772323579.0  1.80   13.04    13.04  
  4   4239706199.0  1831639494.0  2.31    5.05     5.05  
  5   4983767776.0  2754598007.0  1.81   12.17    12.17  
  6   5744532287.0  2155317405.0  2.67    6.85     6.85  
  7    1896424.0      495026.0    3.83    0.00     0.00  
  8   3569075025.0  1591045221.0  2.24    4.53     4.53  
  9   2920757881.0  1381691716.0  2.11    6.11     6.11  
  10  5878968743.0  2225177518.0  2.64    9.49     9.49  
  11   21641866.0    5705193.0    3.79    0.04     0.04  
  12  5242618976.0  2082726585.0  2.52    8.66     8.66  
  13   5637574.0     1194587.0    4.72    0.01     0.01  
  14  4868101189.0  2029907574.0  2.40    7.15     7.15  
  15  2897655808.0  1377661514.0  2.10    5.02     5.02  
System 1363.05 (MHz) duration 30 (sec) CPU avg. 104.68%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5223588440.0  2132048141.0  2.45   12.77    12.77  
  1   4923168156.0  2741809500.0  1.80   12.32    12.32  
  2   5665754598.0  2155963794.0  2.63   15.15    15.15  
  3   5462511186.0  2880974879.0  1.90    7.23     7.23  
  4   5355381205.0  2295861117.0  2.33    6.57     6.57  
  5   4945489862.0  2740190631.0  1.80   10.79    10.79  
  6   3698723520.0  1617592829.0  2.29    5.13     5.13  
  7    4103347.0      918331.0    4.47    0.01     0.01  
  8   6311687585.0  2166754549.0  2.91    8.29     8.29  
  9   2891335758.0  1372395742.0  2.11    5.70     5.70  
  10  4345100612.0  1834867421.0  2.37    5.30     5.30  
  11   12659127.0    3094378.0    4.09    0.02     0.02  
  12  3431335094.0  1503575745.0  2.28    4.11     4.11  
  13   15436786.0    3748761.0    4.12    0.02     0.02  
  14  3981966573.0  1762439004.0  2.26    7.27     7.27  
  15  2873794955.0  1370708698.0  2.10    4.00     4.00  
System 1565.86 (MHz) duration 30 (sec) CPU avg. 103.07%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   3778246064.0  1614642019.0  2.34    8.04     8.04  
  1   4949630303.0  2683770262.0  1.84   13.00    13.00  
  2   4999645481.0  2165815878.0  2.31    6.72     6.72  
  3   4992349895.0  2695471423.0  1.85   12.77    12.77  
  4   5565197862.0  2361831841.0  2.36    7.52     7.52  
  5   4972361473.0  2674899330.0  1.86   11.44    11.44  
  6   5052163422.0  1904440662.0  2.65    6.02     6.02  
  7    1224799.0      374093.0    3.27    0.00     0.00  
  8   5248099173.0  2262523529.0  2.32    9.06     9.06  
  9   2906651066.0  1330786936.0  2.18    3.78     3.78  
  10  5659033271.0  2506823910.0  2.26    7.41     7.41  
  11   4196599.0      908477.0    4.62    0.01     0.01  
  12  3972803946.0  1770211190.0  2.24    5.04     5.04  
  13   22898036.0    5837405.0    3.92    0.03     0.03  
  14  6009100575.0  2619989335.0  2.29    7.85     7.85  
  15  2859679927.0  1330602835.0  2.15    4.38     4.38  
System 1949.14 (MHz) duration 30 (sec) CPU avg. 52.98%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   2698862799.0  1119253036.0  2.41    4.62     4.62  
  1   2547168296.0  1155090226.0  2.21    6.26     6.26  
  2   3562821226.0  1320881815.0  2.70    4.28     4.28  
  3   2577381068.0  1163374256.0  2.22    6.17     6.17  
  4   2382822898.0  1108490600.0  2.15    2.84     2.84  
  5   2625051731.0  1124604849.0  2.33    6.05     6.05  
