
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 3015.51
CRR, TCP, 1, 128, 2997.76
CRR, TCP, 1, 512, 2961.07
CRR, TCP, 1, 1024, 2930.54
CRR, TCP, 1, 9000, 2485.69
CRR, TCP, 1, 64000, 484.53
CRR, TCP, 4, 64, 14582.3
CRR, TCP, 4, 128, 14775.6
CRR, TCP, 4, 512, 14000.4
CRR, TCP, 4, 1024, 13353.8
CRR, TCP, 4, 9000, 11674.6
CRR, TCP, 4, 64000, 2144.17
CRR, TCP, 8, 64, 29710.4
CRR, TCP, 8, 128, 28679.5
CRR, TCP, 8, 512, 28333
CRR, TCP, 8, 1024, 26600.1
CRR, TCP, 8, 9000, 22448.3
CRR, TCP, 8, 64000, 4342.28
CRR, TCP, 16, 64, 51438.4
CRR, TCP, 16, 128, 49415.4
CRR, TCP, 16, 512, 48984.3
CRR, TCP, 16, 1024, 48571.7
CRR, TCP, 16, 9000, 39016.7
CRR, TCP, 16, 64000, 7942.65
