
System 2588.44 (MHz) duration 30 (sec) CPU avg. 35.97%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   1560587017.0  664207201.0   2.35    2.01     2.01  
  1   1975458202.0  1009277591.0  1.96    2.83     2.83  
  2    9576641.0     2241566.0    4.27    0.01     0.01  
  3   1614396483.0  848916606.0   1.90    3.02     3.02  
  4   1627338198.0  703935044.0   2.31    2.54     2.54  
  5   1610976519.0  828234115.0   1.95    2.37     2.37  
  6    25957544.0    3684407.0    7.05    0.04     0.04  
  7   1976645969.0  724687926.0   2.73    4.02     4.02  
  8   1567264994.0  668450403.0   2.34    2.87     2.87  
  9    68236690.0    32289748.0   2.11    0.11     0.11  
  10  1972519685.0  868564351.0   2.27    2.37     2.37  
  11  907717970.0   462533306.0   1.96    2.05     2.05  
  12  1851782798.0  875721212.0   2.11    2.73     2.73  
  13  903870583.0   463738518.0   1.95    1.21     1.21  
  14  3205768667.0  1536673409.0  2.09    4.28     4.28  
  15  2514680542.0  1230124171.0  2.04    3.49     3.49  
System 2666.25 (MHz) duration 30 (sec) CPU avg. 30.25%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   2065703284.0  917237463.0   2.25    2.58     2.58  
  1   2008001944.0  1023633936.0  1.96    3.61     3.61  
  2    8666591.0     1484564.0    5.84    0.01     0.01  
  3   2315934406.0  1187529531.0  1.95    2.92     2.92  
  4   2137375547.0  964847849.0   2.22    2.58     2.58  
  5   1362444298.0  678751332.0   2.01    1.71     1.71  
  6   722371488.0   299194032.0   2.41    0.92     0.92  
  7   1115093884.0  563079471.0   1.98    1.52     1.52  
  8   1490271554.0  660023565.0   2.26    1.77     1.77  
  9    74524691.0    32631191.0   2.28    0.10     0.10  
  10  1345659018.0  582704628.0   2.31    1.66     1.66  
  11  297337122.0   138057905.0   2.15    0.62     0.62  
  12   8404259.0     1345409.0    6.25    0.01     0.01  
  13  1129662665.0  561150075.0   2.01    1.49     1.49  
  14  4766263789.0  1954865789.0  2.44    6.67     6.67  
  15  1659053622.0  860727360.0   1.93    2.07     2.07  
System 2267.26 (MHz) duration 30 (sec) CPU avg. 36.57%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   1258542028.0  529353035.0   2.38    1.85     1.85  
  1   1931869241.0  966240510.0   2.00    2.37     2.37  
  2    1832042.0      517851.0    3.54    0.00     0.00  
  3   2151066957.0  1080692619.0  1.99    3.24     3.24  
  4   2811106005.0  1288606497.0  2.18    4.11     4.11  
  5   1693691995.0  834185914.0   2.03    2.99     2.99  
  6   637346571.0   241892099.0   2.63    0.89     0.89  
  7    68009130.0    29911170.0   2.27    0.08     0.08  
  8   1027432591.0  381438565.0   2.69    1.31     1.31  
  9    83805512.0    37440500.0   2.24    0.11     0.11  
  10  4389095725.0  1832996305.0  2.39    5.47     5.47  
  11   79011185.0    32817514.0   2.41    0.11     0.11  
  12   7101974.0     1874309.0    3.79    0.01     0.01  
  13  815675318.0   396197673.0   2.06    1.04     1.04  
  14  2296467177.0  990227735.0   2.32    2.79     2.79  
  15  3727846544.0  1738665754.0  2.14   10.19    10.19  
System 2575.16 (MHz) duration 30 (sec) CPU avg. 27.77%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   1576700369.0  603117877.0   2.61    2.04     2.04  
  1   3299654063.0  1656385352.0  1.99    4.56     4.56  
  2   1566489212.0  598496206.0   2.62    1.91     1.91  
  3   2113500581.0  1057624136.0  2.00    2.86     2.86  
  4   3637218667.0  1781527143.0  2.04    4.77     4.77  
  5   1229030097.0  591929799.0   2.08    1.96     1.96  
  6   1599430653.0  605160158.0   2.64    2.08     2.08  
  7    71755144.0    31117543.0   2.31    0.10     0.10  
  8   102518819.0    36726284.0   2.79    0.17     0.17  
  9    85296517.0    36917065.0   2.31    0.12     0.12  
  10   85304687.0    33104748.0   2.58    0.11     0.11  
  11   73664492.0    30440198.0   2.42    0.10     0.10  
  12  2640381506.0  1203548972.0  2.19    3.14     3.14  
  13  1235004403.0  590202619.0   2.09    1.47     1.47  
  14   74053178.0    31467055.0   2.35    0.09     0.09  
  15  1816954562.0  905023555.0   2.01    2.28     2.28  
System 2415.47 (MHz) duration 30 (sec) CPU avg. 33.84%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   1670186345.0  904074227.0   1.85    2.30     2.30  
  1   2739943661.0  1422182521.0  1.93    3.62     3.62  
  2   1248033126.0  722082463.0   1.73    1.74     1.74  
  3   2967156153.0  1560291115.0  1.90    3.79     3.79  
  4    41799878.0    21553123.0   1.94    0.06     0.06  
  5   3857233741.0  1427707584.0  2.70    5.54     5.54  
  6   1558833761.0  853371203.0   1.83    1.88     1.88  
  7    71130975.0    31160736.0   2.28    0.10     0.10  
  8   1000972128.0  571409165.0   1.75    1.27     1.27  
  9    85771461.0    37905206.0   2.26    0.12     0.12  
  10  2185259126.0  1233677612.0  1.77    2.63     2.63  
  11   83525681.0    34882067.0   2.39    0.11     0.11  
  12  1146782160.0  676301277.0   1.70    1.59     1.59  
  13   59785485.0    29804557.0   2.01    0.08     0.08  
  14  2562859100.0  1470272393.0  1.74    3.05     3.05  
  15  3598390044.0  1372312290.0  2.62    5.96     5.96  
