
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 2981.52
CRR, TCP, 1, 128, 2981.68
CRR, TCP, 1, 512, 2907.1
CRR, TCP, 1, 1024, 2884.46
CRR, TCP, 1, 9000, 2624.13
CRR, TCP, 1, 64000, 467.16
CRR, TCP, 4, 64, 15232.3
CRR, TCP, 4, 128, 14889.6
CRR, TCP, 4, 512, 14559
CRR, TCP, 4, 1024, 13679.5
CRR, TCP, 4, 9000, 11720.4
CRR, TCP, 4, 64000, 1897.89
CRR, TCP, 8, 64, 30503.8
CRR, TCP, 8, 128, 30600.5
CRR, TCP, 8, 512, 29966.2
CRR, TCP, 8, 1024, 28568.3
CRR, TCP, 8, 9000, 23341.2
CRR, TCP, 8, 64000, 4273.71
CRR, TCP, 16, 64, 52662.4
CRR, TCP, 16, 128, 51045.3
CRR, TCP, 16, 512, 48024.8
CRR, TCP, 16, 1024, 49731.5
CRR, TCP, 16, 9000, 37601.8
CRR, TCP, 16, 64000, 8001.86
