
System 1625.31 (MHz) duration 30 (sec) CPU avg. 105.17%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   8101948743.0  3248601287.0  2.49   16.62    16.62  
  1   4981825432.0  2771763408.0  1.80    9.37     9.37  
  2   4483136685.0  1637151189.0  2.74    5.40     5.40  
  3   5006125712.0  2788964061.0  1.79    6.48     6.48  
  4   3535353609.0  1504116305.0  2.35    4.34     4.34  
  5   4998871316.0  2773176502.0  1.80   11.63    11.63  
  6   2980120349.0  1278154578.0  2.33    4.71     4.71  
  7    1173038.0      364588.0    3.22    0.00     0.00  
  8   3258815872.0  1342301077.0  2.43    3.92     3.92  
  9   3907320688.0  1624348483.0  2.41    7.48     7.48  
  10  6283986670.0  2465865267.0  2.55    7.49     7.49  
  11   26283637.0    6540560.0    4.02    0.03     0.03  
  12  6103573519.0  2475876668.0  2.47   16.28    16.28  
  13   2530106.0      430721.0    5.87    0.01     0.01  
  14  4926801631.0  1949594745.0  2.53    7.33     7.33  
  15  2914776461.0  1389410648.0  2.10    4.09     4.09  
System 1842.42 (MHz) duration 30 (sec) CPU avg. 95.39%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   9189226819.0  3669551681.0  2.50   16.63    16.63  
  1   4930162641.0  2742380307.0  1.80    6.48     6.48  
  2   3934859073.0  1633899411.0  2.41    4.73     4.73  
  3   4937812437.0  2746793291.0  1.80   12.64    12.64  
  4   2625786811.0  1226773586.0  2.14    3.34     3.34  
  5   4953869927.0  2741185496.0  1.81    7.10     7.10  
  6   3935981299.0  1666169512.0  2.36    9.35     9.35  
  7    1389660.0      382581.0    3.63    0.00     0.00  
  8   6478114285.0  2491990116.0  2.60    7.82     7.82  
  9   2897854937.0  1366659127.0  2.12    4.11     4.11  
  10  3146441365.0  1314250764.0  2.39    3.79     3.79  
  11   10058910.0    2207967.0    4.56    0.02     0.02  
  12  3509186639.0  1416148575.0  2.48    4.18     4.18  
  13   18855417.0    4807606.0    3.92    0.04     0.04  
  14  4086945544.0  1610586432.0  2.54    7.85     7.85  
  15  2897316200.0  1374832785.0  2.11    7.32     7.32  
System 2040.16 (MHz) duration 30 (sec) CPU avg. 102.11%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   6153798015.0  2565550609.0  2.40   10.05    10.05  
  1   4955546265.0  2763126906.0  1.79   11.97    11.97  
  2   4851652877.0  1775837187.0  2.73    6.00     6.00  
  3   4968238143.0  2773041690.0  1.79    6.25     6.25  
  4   6115975189.0  2424655502.0  2.52    8.95     8.95  
  5   4964429267.0  2759894046.0  1.80    6.80     6.80  
  6   3880599086.0  1545719276.0  2.51    4.63     4.63  
  7    1558512.0      476698.0    3.27    0.00     0.00  
  8   4556265815.0  1778055081.0  2.56    8.78     8.78  
  9   2906036323.0  1382105028.0  2.10    6.04     6.04  
  10  4823075316.0  1857496233.0  2.60    5.90     5.90  
  11   22791633.0    5785594.0    3.94    0.05     0.05  
  12  5227171416.0  2204651210.0  2.37   13.89    13.89  
  13   4279019.0     1018690.0    4.20    0.01     0.01  
