
System 2767.50 (MHz) duration 30 (sec) CPU avg. 101.38%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5137861066.0  4645335608.0  1.11    6.19     6.19  
  1   6159976647.0  8161540280.0  0.75   14.58    14.58  
  2   3965940125.0  3515367110.0  1.13    4.73     4.73  
  3   3462698577.0  4093562110.0  0.85    4.88     4.88  
  4   4105094848.0  4421734057.0  0.93    5.33     5.33  
  5   3483212054.0  4084791166.0  0.85    4.40     4.40  
  6   4131262592.0  3574183813.0  1.16    6.35     6.35  
  7    1658929.0      545263.0    3.04    0.00     0.00  
  8   4599994185.0  4520640912.0  1.02    6.13     6.13  
  9   4598345662.0  4346547247.0  1.06    5.90     5.90  
  10  5703515628.0  5623696771.0  1.01    7.64     7.64  
  11  3505914751.0  4087121168.0  0.86    5.21     5.21  
  12  4844390873.0  4587604630.0  1.06    6.96     6.96  
  13  3493620323.0  4085697975.0  0.86    5.19     5.19  
  14  6960531421.0  5924884603.0  1.17   13.44    13.44  
  15  3492801119.0  4082654038.0  0.86    4.45     4.45  
System 2796.17 (MHz) duration 30 (sec) CPU avg. 118.08%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   4891788648.0  4603218650.0  1.06    5.83     5.83  
  1   6168886261.0  8164923028.0  0.76   14.93    14.93  
  2   4650102152.0  4334997785.0  1.07    9.75     9.75  
  3   3476785907.0  4091794504.0  0.85    8.53     8.53  
  4   5384760704.0  4726975967.0  1.14    7.42     7.42  
  5   3501179660.0  4082429427.0  0.86    6.29     6.29  
  6   5751724629.0  4602479778.0  1.25    9.66     9.66  
  7    1557159.0      496669.0    3.14    0.00     0.00  
  8   5683902276.0  4789720004.0  1.19   12.83    12.83  
  9   3541363882.0  4087668436.0  0.87    4.70     4.70  
  10  6198205031.0  5100096591.0  1.22    7.49     7.49  
  11  3516726597.0  4087335399.0  0.86    6.64     6.64  
  12  4291575300.0  4444878530.0  0.97    5.47     5.47  
  13  3515524192.0  4090549685.0  0.86    4.53     4.53  
  14  5309109161.0  4864315280.0  1.09    6.43     6.43  
  15  3510751562.0  4082431066.0  0.86    7.58     7.58  
System 2764.53 (MHz) duration 30 (sec) CPU avg. 110.51%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   6950222804.0  6118926584.0  1.14    8.38     8.38  
  1   6114848523.0  8065838126.0  0.76   15.10    15.10  
  2   4583698294.0  4671945301.0  0.98    5.46     5.46  
  3   3444486005.0  4044589187.0  0.85    9.24     9.24  
  4   5414263476.0  4504564539.0  1.20    6.77     6.77  
  5   3463312667.0  4036454229.0  0.86    4.42     4.42  
  6   3508139384.0  3308445878.0  1.06    4.87     4.87  
  7    2282526.0      706194.0    3.23    0.00     0.00  
  8   5005341154.0  4586575017.0  1.09    6.95     6.95  
  9   3495380115.0  4035544234.0  0.87    7.76     7.76  
  10  5095471743.0  4609632824.0  1.11    6.23     6.23  
  11  3477838171.0  4035737030.0  0.86    4.72     4.72  
  12  4821936124.0  4340374328.0  1.11    9.71     9.71  
  13  3475848896.0  4043373033.0  0.86    7.70     7.70  
  14  4582152102.0  4487960250.0  1.02    6.13     6.13  
  15  3471808062.0  4036853368.0  0.86    7.07     7.07  
System 2763.20 (MHz) duration 30 (sec) CPU avg. 104.77%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   6314295135.0  5028125060.0  1.26    7.62     7.62  
  1   6061338366.0  7996194716.0  0.76    7.84     7.84  
  2   5362328840.0  4250293289.0  1.26    6.53     6.53  
  3   3412722566.0  4006956967.0  0.85    9.31     9.31  
  4   4937075485.0  4345323094.0  1.14    6.40     6.40  
  5   3430438033.0  3998362104.0  0.86    4.30     4.30  
  6   4955319548.0  4529285635.0  1.09    5.93     5.93  
  7    2569113.0      602481.0    4.26    0.00     0.00  
  8   5321896482.0  4627456665.0  1.15    8.99     8.99  
  9   3471947155.0  4002179611.0  0.87    4.72     4.72  
  10  6447597447.0  5451776804.0  1.18    8.16     8.16  
  11  3466185182.0  4006751564.0  0.87    6.31     6.31  
  12  4175249734.0  4136946627.0  1.01    8.68     8.68  
  13  3438879290.0  4001481521.0  0.86    4.31     4.31  
  14  5203793769.0  4614954407.0  1.13   11.20    11.20  
  15  3442617594.0  3997661138.0  0.86    4.45     4.45  
System 2770.00 (MHz) duration 30 (sec) CPU avg. 108.07%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   3937322442.0  4678244112.0  0.84    4.74     4.74  
  1   5829777992.0  7516849325.0  0.78    7.72     7.72  
  2   5834307264.0  4956189657.0  1.18   10.69    10.69  
  3   3278439110.0  3772740359.0  0.87    4.38     4.38  
  4   2935382425.0  2994959228.0  0.98    3.86     3.86  
  5   5559214432.0  4318944676.0  1.29   11.35    11.35  
  6   5549427016.0  5844842288.0  0.95    6.62     6.62  
  7    2754541.0      652637.0    4.22    0.00     0.00  
  8   4131580395.0  4400159268.0  0.94    8.59     8.59  
  9   3311211744.0  3747697028.0  0.88    4.17     4.17  
  10  5967711071.0  5183229171.0  1.15    7.14     7.14  
  11  3270470128.0  3747172791.0  0.87    7.69     7.69  
  12  4306409629.0  4509439669.0  0.95    6.53     6.53  
  13  3289682145.0  3756294128.0  0.88    8.32     8.32  
  14  6293750060.0  5370015455.0  1.17    7.87     7.87  
  15  3260229046.0  3746961634.0  0.87    8.41     8.41  
System 2765.31 (MHz) duration 30 (sec) CPU avg. 53.80%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   2924047928.0  2427100160.0  1.20    3.52     3.52  
  1   2943760854.0  2929450549.0  1.00    4.17     4.17  
  2   3259254164.0  2564981755.0  1.27    4.56     4.56  
  3   2219939750.0  1476166860.0  1.50    2.69     2.69  
  4   2114779099.0  1886086752.0  1.12    2.61     2.61  
  5   2184849893.0  1441505838.0  1.52    2.97     2.97  
  6   2003841607.0  1840841523.0  1.09    3.19     3.19  
  7    3445613.0      767619.0    4.49    0.01     0.01  
  8   2053842187.0  1914931795.0  1.07    2.86     2.86  
  9   2154160472.0  1426008535.0  1.51    2.88     2.88  
  10  3271277387.0  2710484377.0  1.21    3.90     3.90  
  11  2144041101.0  1428867027.0  1.50    2.69     2.69  
  12  1975905111.0  1749952139.0  1.13    2.51     2.51  
  13  2214498703.0  1454298722.0  1.52    5.80     5.80  
  14  2463710515.0  2401459755.0  1.03    4.41     4.41  
  15  2136495257.0  1426153119.0  1.50    5.04     5.04  
System 2698.98 (MHz) duration 30 (sec) CPU avg. 348.02%
 CPU      Cycles      Instructions  CPI   Avg (%)  Max (%) 
  0   28168931160.0  36217731441.0  0.78   34.79    34.79  
  1   24198042487.0  35873773823.0  0.67   29.53    29.53  
  2   27030981216.0  35276012643.0  0.77   33.88    33.88  
  3   12415540123.0  18050927994.0  0.69   26.42    26.42  
  4   11220049451.0  13184144885.0  0.85   13.37    13.37  
  5   12504318737.0  18041790095.0  0.69   34.74    34.74  
  6    9659750465.0  11420252539.0  0.85   11.85    11.85  
  7     2782223.0       624910.0    4.45    0.01     0.01  
  8    1635400953.0   1726161897.0  0.95    2.81     2.81  
  9   12745475978.0  18072891477.0  0.71   25.39    25.39  
  10   1874175186.0   1796240063.0  1.04    2.58     2.58  
  11  12514996973.0  18040687759.0  0.69   17.64    17.64  
  12  28181636980.0  36250822877.0  0.78   50.47    50.47  
  13  12475874344.0  18054507607.0  0.69   28.37    28.37  
  14  11013748405.0  13303855061.0  0.83   14.59    14.59  
  15  12470982029.0  18042722415.0  0.69   21.60    21.60  
System 2798.91 (MHz) duration 30 (sec) CPU avg. 310.91%
 CPU      Cycles      Instructions  CPI   Avg (%)  Max (%) 
  0   31668408399.0  45177271942.0  0.70   37.72    37.72  
  1   23677144478.0  35612226019.0  0.66   44.69    44.69  
  2   11409640323.0  13430371590.0  0.85   19.78    19.78  
  3   12347884955.0  17973227844.0  0.69   16.17    16.17  
  4   10871672401.0  12362345395.0  0.88   14.34    14.34  
  5   12434749189.0  17960543935.0  0.69   14.87    14.87  
  6   21823883331.0  26137320064.0  0.83   35.50    35.50  
  7     1802931.0       569984.0    3.16    0.00     0.00  
  8    9623801535.0  11424043361.0  0.84   11.59    11.59  
  9   12536615696.0  17954008212.0  0.70   16.84    16.84  
  10  10795735398.0  13274050958.0  0.81   13.20    13.20  
  11  12474729163.0  17955908495.0  0.69   27.06    27.06  
  12  10508080677.0  13223044329.0  0.79   13.43    13.43  
  13  12513183436.0  17991851657.0  0.70   16.54    16.54  
  14  11119247447.0  13358195221.0  0.83   13.78    13.78  
  15  12380737107.0  17964608935.0  0.69   15.41    15.41  
System 2714.14 (MHz) duration 30 (sec) CPU avg. 312.75%
 CPU      Cycles      Instructions  CPI   Avg (%)  Max (%) 
  0   37984637693.0  56079381536.0  0.68   46.65    46.65  
  1   23802743099.0  35201457165.0  0.68   30.86    30.86  
  2   14260768282.0  16583706763.0  0.86   16.99    16.99  
  3   12213338528.0  17722339582.0  0.69   26.23    26.23  
  4   15420010682.0  18554287229.0  0.83   18.35    18.35  
  5   12286771869.0  17704491764.0  0.69   14.75    14.75  
  6   11168267632.0  14006318825.0  0.80   13.67    13.67  
  7     2006929.0       595184.0    3.37    0.00     0.00  
  8   14009920888.0  16491412803.0  0.85   21.56    21.56  
  9   12381963925.0  17709220474.0  0.70   16.86    16.86  
  10   8269247928.0   9983377887.0  0.83   10.56    10.56  
  11  12427994086.0  17727525203.0  0.70   21.72    21.72  
  12   7966435752.0   9946653890.0  0.80   14.44    14.44  
  13  12223929924.0  17712223772.0  0.69   26.26    26.26  
  14   2982228719.0   3450998658.0  0.86    3.73     3.73  
  15  12712924834.0  17821955802.0  0.71   30.08    30.08  
System 2722.19 (MHz) duration 30 (sec) CPU avg. 324.20%
 CPU      Cycles      Instructions  CPI   Avg (%)  Max (%) 
  0   30181144662.0  41286421614.0  0.73   36.96    36.96  
  1   24171045134.0  35479793476.0  0.68   28.78    28.78  
  2    5579733129.0   6592972031.0  0.85    6.91     6.91  
  3   12288517998.0  17833632656.0  0.69   15.40    15.40  
  4    5882147054.0   6699020009.0  0.88   14.31    14.31  
  5   12347241338.0  17821080146.0  0.69   21.00    21.00  
  6   28636467859.0  36566920458.0  0.78   47.71    47.71  
  7     2011432.0       608339.0    3.31    0.00     0.00  
  8    5469588867.0   6104137512.0  0.90    8.60     8.60  
  9   12462737804.0  17821788183.0  0.70   26.55    26.55  
  10  11017393447.0  12759866914.0  0.86   14.28    14.28  
  11  12413042307.0  17831395710.0  0.70   29.25    29.25  
  12   400775231.0    128946933.0   3.11    0.75     0.75  
  13  12333436810.0  17830836197.0  0.69   17.70    17.70  
  14  27527972185.0  36326369414.0  0.76   36.80    36.80  
  15  13479816511.0  18107637116.0  0.74   19.20    19.20  
System 2622.81 (MHz) duration 30 (sec) CPU avg. 290.49%
 CPU      Cycles      Instructions  CPI   Avg (%)  Max (%) 
  0   50605699706.0  79522240343.0  0.64   64.31    64.31  
  1   21376886893.0  30201215526.0  0.71   27.30    27.30  
  2    9242495826.0  11791933480.0  0.78   11.02    11.02  
  3   10765391808.0  15122432600.0  0.71   19.99    19.99  
  4   10264866109.0  12463986734.0  0.82   12.85    12.85  
  5   12826306986.0  15592811799.0  0.82   19.60    19.60  
  6    9889847341.0  12495327420.0  0.79   13.00    13.00  
  7     1850887.0       565272.0    3.27    0.00     0.00  
  8    8412500047.0  10427844554.0  0.81   17.26    17.26  
  9   10819862413.0  15067371324.0  0.72   17.30    17.30  
  10   6319195752.0   7529033682.0  0.84    7.84     7.84  
  11  10764556998.0  15074149549.0  0.71   14.32    14.32  
