
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 3187.53
CRR, TCP, 1, 128, 3170.86
CRR, TCP, 1, 512, 3053
CRR, TCP, 1, 1024, 3041.79
CRR, TCP, 1, 9000, 2625.16
CRR, TCP, 1, 64000, 460.92
CRR, TCP, 4, 64, 15003.9
CRR, TCP, 4, 128, 15047.8
CRR, TCP, 4, 512, 14386.9
CRR, TCP, 4, 1024, 13985.9
CRR, TCP, 4, 9000, 11965.5
CRR, TCP, 4, 64000, 2144.29
CRR, TCP, 8, 64, 30855.7
CRR, TCP, 8, 128, 30316.9
CRR, TCP, 8, 512, 29577.9
CRR, TCP, 8, 1024, 28397.3
CRR, TCP, 8, 9000, 23438.7
CRR, TCP, 8, 64000, 4306.05
CRR, TCP, 16, 64, 53052.9
CRR, TCP, 16, 128, 52261.6
CRR, TCP, 16, 512, 50816.8
CRR, TCP, 16, 1024, 48863.7
CRR, TCP, 16, 9000, 39756
CRR, TCP, 16, 64000, 8017.5
