
type, proto, cores, packet size, result
CRR, TCP, 1, 64, 3368.05
CRR, TCP, 1, 128, 3117.01
CRR, TCP, 1, 512, 3079.53
CRR, TCP, 1, 1024, 3013.59
CRR, TCP, 1, 9000, 2749.69
CRR, TCP, 1, 64000, 474.63
CRR, TCP, 4, 64, 15582.9
CRR, TCP, 4, 128, 15452
CRR, TCP, 4, 512, 15069.1
CRR, TCP, 4, 1024, 14897.9
CRR, TCP, 4, 9000, 12487.6
CRR, TCP, 4, 64000, 2215.16
CRR, TCP, 8, 64, 31878.5
CRR, TCP, 8, 128, 31936
CRR, TCP, 8, 512, 31070.4
CRR, TCP, 8, 1024, 30210.2
CRR, TCP, 8, 9000, 24327.4
CRR, TCP, 8, 64000, 4017.47
CRR, TCP, 16, 64, 57235
CRR, TCP, 16, 128, 57239.4
CRR, TCP, 16, 512, 54613.1
CRR, TCP, 16, 1024, 53134.6
CRR, TCP, 16, 9000, 41774.4
CRR, TCP, 16, 64000, 8089.17
