
System 2795.47 (MHz) duration 30 (sec) CPU avg. 85.63%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   4095648819.0  1334344654.0  3.07    4.88     4.88  
  1   3830582629.0  1716689746.0  2.23    5.40     5.40  
  2   7261541874.0  2311332454.0  3.14   10.68    10.68  
  3   3855634264.0  1731591688.0  2.23    4.87     4.87  
  4   4615540369.0  1500873576.0  3.08    5.55     5.55  
  5   3880611469.0  1718009526.0  2.26    9.43     9.43  
  6   2447237220.0  926593501.0   2.64    3.54     3.54  
  7    3146412.0      768767.0    4.09    0.00     0.00  
  8   6662049286.0  2072456140.0  3.21    8.94     8.94  
  9   2432288209.0  859071083.0   2.83    3.63     3.63  
  10  6262927924.0  2071736900.0  3.02    7.50     7.50  
  11   13087790.0    3135331.0    4.17    0.02     0.02  
  12  5925470600.0  1863589785.0  3.18    7.61     7.61  
  13   15018681.0    3796051.0    3.96    0.04     0.04  
  14  6215774211.0  1922580479.0  3.23    7.48     7.48  
  15  2426214316.0  859604292.0   2.82    6.07     6.07  
System 2300.86 (MHz) duration 30 (sec) CPU avg. 91.11%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   6513522377.0  2063205301.0  3.16    9.44     9.44  
  1   3562110215.0  1618616120.0  2.20    7.45     7.45  
  2   5808990684.0  1841031245.0  3.16    6.93     6.93  
  3   3578618727.0  1632307484.0  2.19    8.24     8.24  
  4   6955607997.0  2070514595.0  3.36   14.30    14.30  
  5   3608209030.0  1617425931.0  2.23    7.60     7.60  
  6   4665454521.0  1423914942.0  3.28    9.54     9.54  
  7    5840514.0     1876530.0    3.11    0.02     0.02  
  8   3877151903.0  1335559510.0  2.90    5.05     5.05  
  9   2233047187.0  812026378.0   2.75    2.94     2.94  
  10  3659430368.0  1308534487.0  2.80    4.84     4.84  
  11   15668742.0    4586543.0    3.42    0.02     0.02  
  12  5342228715.0  1684087391.0  3.17    7.24     7.24  
  13   9941126.0     2503624.0    3.97    0.02     0.02  
  14  3974613353.0  1323631805.0  3.00    4.77     4.77  
  15  2225960355.0  810265400.0   2.75    2.70     2.70  
System 1817.89 (MHz) duration 30 (sec) CPU avg. 83.46%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   2860393803.0  969226370.0   2.95    5.24     5.24  
  1   3529812068.0  1594182045.0  2.21    4.43     4.43  
  2   3594631976.0  1243300446.0  2.89    4.96     4.96  
  3   3550608089.0  1605271044.0  2.21    7.95     7.95  
  4   3113154767.0  1008863983.0  3.09    3.71     3.71  
  5   3578162194.0  1590461681.0  2.25    6.97     6.97  
  6   5299544655.0  1777166696.0  2.98    6.97     6.97  
  7    2597798.0      661462.0    3.93    0.00     0.00  
  8   3962235608.0  1302375278.0  3.04    7.00     7.00  
  9   2209174091.0  798451971.0   2.77    3.62     3.62  
  10  9026358221.0  2674600764.0  3.37   11.80    11.80  
  11   5035466.0     1112590.0    4.53    0.01     0.01  
  12  8134993011.0  2334375972.0  3.48   10.20    10.20  
  13   23051656.0    5726014.0    4.03    0.05     0.05  
  14  6043510241.0  1858968105.0  3.25    7.24     7.24  
  15  2202171905.0  797452694.0   2.76    3.30     3.30  
System 2695.86 (MHz) duration 30 (sec) CPU avg. 102.13%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5335515789.0  1635371717.0  3.26    6.60     6.60  
  1   3492028540.0  1577163444.0  2.21    4.63     4.63  
  2   6906199996.0  2038038563.0  3.39    8.71     8.71  
  3   3508446613.0  1590865306.0  2.21    8.26     8.26  
  4   6111619994.0  1832118246.0  3.34   10.39    10.39  
  5   3555959260.0  1573543792.0  2.26    8.73     8.73  
  6   4698709456.0  1520033772.0  3.09    6.44     6.44  
  7    2359797.0      650780.0    3.63    0.00     0.00  
  8   3637456654.0  1186704560.0  3.07    5.27     5.27  
  9   2177156571.0  789834765.0   2.76    4.73     4.73  
  10  5841262297.0  1820051112.0  3.21   12.28    12.28  
  11   11654872.0    2833035.0    4.11    0.01     0.01  
  12  7172064201.0  2180141065.0  3.29    9.48     9.48  
  13   15495819.0    3852442.0    4.02    0.04     0.04  
  14  4868263257.0  1558639554.0  3.12    5.86     5.86  
  15  4246763939.0  1294795445.0  3.28   10.70    10.70  
System 2768.75 (MHz) duration 30 (sec) CPU avg. 100.25%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   5540066180.0  1846118863.0  3.00    6.67     6.67  
  1   3316964751.0  1517141872.0  2.19    7.51     7.51  
  2   4480488972.0  1622518561.0  2.76    6.61     6.61  
  3   3323355623.0  1528370087.0  2.17    7.63     7.63  
  4   6452296890.0  2189194336.0  2.95   13.14    13.14  
  5   5658073581.0  2064608751.0  2.74   12.88    12.88  
  6   7337125899.0  2322124424.0  3.16    8.74     8.74  
  7    4859979.0     1050329.0    4.63    0.01     0.01  
  8   5747657274.0  1915773381.0  3.00   10.21    10.21  
  9   2052068752.0  749920118.0   2.74    4.67     4.67  
  10  5664313359.0  1864964384.0  3.04    7.35     7.35  
  11   14969799.0    3556522.0    4.21    0.02     0.02  
  12  3262282588.0  1095185096.0  2.98    3.94     3.94  
  13   11851487.0    3276912.0    3.62    0.03     0.03  
  14  4099615247.0  1497882232.0  2.74    4.91     4.91  
  15  2667246998.0  902191094.0   2.96    5.95     5.95  
System 2752.50 (MHz) duration 30 (sec) CPU avg. 39.46%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   1105476030.0  457994129.0   2.41    1.34     1.34  
  1   1972251371.0  779813510.0   2.53    4.07     4.07  
  2   2259070594.0  820288535.0   2.75    3.88     3.88  
  3   1978746285.0  786196458.0   2.52    2.53     2.53  
  4   1716833418.0  689452134.0   2.49    3.66     3.66  
  5   1941155213.0  743496708.0   2.61    2.94     2.94  
  6   1581668148.0  600185913.0   2.64    2.10     2.10  
  7    6026216.0     1174485.0    5.13    0.01     0.01  
  8   1707955745.0  693508746.0   2.46    3.34     3.34  
  9   1750445828.0  353948253.0   4.95    3.62     3.62  
  10  2388718811.0  825774299.0   2.89    3.26     3.26  
  11   7234629.0     1452057.0    4.98    0.01     0.01  
  12  1681777951.0  665566215.0   2.53    2.04     2.04  
  13   19947439.0    5273721.0    3.78    0.03     0.03  
  14  1854849843.0  620112335.0   2.99    2.22     2.22  
  15  1732580362.0  352043560.0   4.92    4.40     4.40  
System 2647.26 (MHz) duration 30 (sec) CPU avg. 234.65%
 CPU      Cycles     Instructions  CPI   Avg (%)  Max (%) 
  0   16498143565.0  7352895684.0  2.24   20.77    20.77  
  1   14528385766.0  7530198362.0  1.93   32.65    32.65  
  2   10772427182.0  4628686004.0  2.33   12.84    12.84  
  3   12769485657.0  7126530014.0  1.79   17.53    17.53  
  4   10786948457.0  4564180068.0  2.36   27.42    27.42  
  5   13031005077.0  7236081083.0  1.80   25.10    25.10  
  6   11378111154.0  4739771388.0  2.40   14.39    14.39  
  7     23336787.0    12442747.0   1.88    0.03     0.03  
  8    7890413389.0  3475718858.0  2.27   12.86    12.86  
  9    6882180983.0  3702502757.0  1.86   18.10    18.10  
  10   8785844955.0  3672778925.0  2.39   11.14    11.14  
  11   213476243.0   250051588.0   0.85    0.45     0.45  
  12  11232452089.0  4696379401.0  2.39   13.68    13.68  
  13    14938767.0    3905818.0    3.82    0.04     0.04  
  14   9178000985.0  4168233379.0  2.20   11.00    11.00  
  15   6726661734.0  3663138056.0  1.84   16.63    16.63  
System 2707.73 (MHz) duration 30 (sec) CPU avg. 234.74%
 CPU      Cycles      Instructions  CPI   Avg (%)  Max (%) 
